,Unnamed: 0,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
56,56,0.988996084,0.013781383,2.22e-05,5.68e-17,0.084970063,0.00291375,0.158903724,0.003051466,0.007832343,2.22e-05,0.087784545,0.041493776,2.4e-05,0.0
58,58,0.999185474,0.004306795,4.9e-06,9.22e-07,0.334655975,0.000224189,0.008288486,0.002585988,0.004016938,4.9e-06,0.354591906,0.013831259,5.23e-06,0.189652478
59,59,0.001131235,0.049957086,0.001393758,0.000849372,0.506620752,0.008528658,0.114436725,0.019705228,0.03327862,0.001393758,0.587416031,0.077455048,0.001398789,0.013080526
60,60,0.010819278,0.028423916,0.000689874,0.001274137,0.554737894,0.001018398,0.017049561,0.028135549,0.036161521,0.000689874,0.607107165,0.070539419,0.000711729,0.026159891
61,61,0.010897875,0.024978619,4.58e-05,0.000925536,0.527461574,9.41e-05,0.032172412,0.047795781,0.040902759,4.58e-05,0.593561432,0.076071923,4.37e-05,0.313906797
62,62,0.021200066,0.01722668,0.0,0.000921504,0.534182258,2.88e-18,0.067683848,0.031135295,0.040800466,0.0,0.603904446,0.055325035,0.0,0.104636426
63,63,0.02129077,0.007752092,5.45e-06,1.72e-06,0.342868518,1.17e-05,0.00894284,0.0429274,0.007575931,5.45e-06,0.373882259,0.020746888,5.97e-06,0.071937841
64,64,0.999671183,0.018949328,1.5e-05,2.9e-06,0.344431739,8.63e-05,0.118098927,0.033721283,0.023478124,1.5e-05,0.391953407,0.05670816,1.45e-05,0.078477523
66,66,0.959513444,0.014642707,0.0,3.7e-22,0.040276501,2.88e-18,0.14174983,0.003620383,0.004578304,0.0,0.047701894,0.052558783,0.0,0.228890746
67,67,0.968800025,0.014642707,0.0,9.03e-20,0.064539374,2.88e-18,0.121315441,0.006878728,0.007476523,0.0,0.070133652,0.044260028,0.0,0.0
69,69,0.979289376,0.027562592,0.000189058,6.99e-06,0.362914994,0.000365633,0.149619893,0.050212129,0.028690998,0.000189058,0.408523022,0.085753804,0.000191325,0.052318794
70,70,0.939140717,0.062015646,6.76e-05,1.23e-38,0.000385742,0.025966247,0.000512577,0.000258599,9.61e-05,6.76e-05,0.000325725,0.001383126,7.12e-05,0.03269974
71,71,0.958814544,0.146425635,0.000738703,9.67e-32,0.008018093,0.164676147,0.052481384,0.004085861,0.000430528,0.000738703,0.007714243,0.011065007,0.000771677,0.071937841
72,72,0.958908881,0.020671976,0.000276701,8.14e-28,0.025750758,0.023590339,0.080945062,0.003620383,0.001657688,0.000276701,0.025899756,0.017980636,0.000278059,0.117715791
73,73,0.959434443,0.054263707,0.000277953,1.6400000000000002e-21,0.046969023,0.057716924,0.083960907,0.002792867,0.005139129,0.000277953,0.053961229,0.051175657,0.000271681,0.039239422
74,74,0.968704679,0.118863196,0.002745961,2.03e-19,0.072138226,0.089327642,0.076384577,0.003982421,0.008308258,0.002745961,0.07434185,0.053941909,0.002799938,0.065398159
75,75,0.97879832,0.03703718,0.000752476,2.47e-16,0.079314262,0.015178514,0.069506951,0.013809176,0.0033619,0.000752476,0.082890806,0.04011065,0.000772953,0.104636426
78,78,0.959219839,0.011197389,7.55e-05,5.2e-30,0.013032881,0.008549663,0.109766454,0.000465478,0.001036165,7.55e-05,0.013142986,0.017980636,8.07e-05,0.156953892
80,80,0.959532311,0.014642707,2.5e-05,1.49e-21,0.047034122,0.008720739,0.065984708,0.000465478,0.001391146,2.5e-05,0.048956822,0.01659751,2.67e-05,0.065398159
81,81,0.978696618,0.024978619,3.93e-05,2.79e-15,0.112753332,0.006860042,0.047835106,0.012102424,0.018277005,3.93e-05,0.11448564,0.051175657,3.94e-05,0.2485098
83,83,0.97919736,0.105943289,0.026113087,1.24e-06,0.339656648,0.064748891,0.246298537,0.02787695,0.04548516,0.026113087,0.401785567,0.150760719,0.027215102,0.0
84,84,0.989380696,0.024117295,0.00031927,4.12e-07,0.326636869,0.002439912,0.045237683,0.006775289,0.010356152,0.00031927,0.377447896,0.051175657,0.000330354,0.111176109
86,86,0.96972039,0.021533322,0.000155253,3.08e-16,0.091999468,0.000997181,0.095991572,0.004654778,0.008436819,0.000155253,0.095668666,0.044260028,0.000158162,0.052318794
89,89,0.97939461,0.025839943,0.000463255,2.36e-14,0.138690133,0.00701563,0.08489627,0.008326881,0.012752252,0.000463255,0.138865419,0.045643154,0.000477037,0.006538528
90,90,0.979398444,0.03100791,0.000631028,2.4e-14,0.13852816,0.011225433,0.029409584,0.01722268,0.015380703,0.000631028,0.140585084,0.066390041,0.000636474,0.117715791
91,91,0.978999706,0.077519525,0.00152114,1.06e-14,0.114151746,0.042586784,0.044369573,0.005068536,0.008271775,0.00152114,0.118955766,0.045643154,0.001522474,0.143874527
95,95,0.979188784,0.055986355,0.007043912,5.46e-06,0.368103141,0.007585438,0.245277381,0.019601789,0.038380924,0.007043912,0.434098923,0.159059474,0.007855992,0.045779104
100,100,0.989699625,0.09216208,0.007152013,0.000988527,0.454559617,0.052958107,0.136638234,0.013136819,0.045531741,0.007152013,0.529382323,0.095435685,0.00709045,0.013080526
101,101,0.989780644,0.043927795,0.002125274,0.000369705,0.422578009,0.02802822,0.103598075,0.007137327,0.040906598,0.002125274,0.499618744,0.060857538,0.002133643,0.065398159
