,Id,Unnamed: 0.1,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality
0,0.0,0.0,0.024978619,0.00042945,2.69e-09,0.273693874,0.004490851999999998,0.08474904099999998,0.009361276,0.011908574,0.00042945,0.332775783
1,0.000622422,7.935563226600008e-05,0.109388586,0.011440361,0.002691844,0.562666303,0.020391508999999995,0.200707866,0.045088252,0.114220682,0.011440361,0.684676459
2,0.000624944,0.00011903344839900012,0.064599619,0.003288907,0.00493607,0.583799345,0.0011598419999999982,0.273917008,0.093374337,0.118122641,0.003288907,0.689865981
3,0.021009273,0.00015871126453200017,0.012920059,2.8e-05,0.000129903,0.466408658,9.119999999999818e-05,0.024320161999999985,0.090113406,0.022097463,2.8e-05,0.521037823
4,0.021300255,0.0001983890806650002,0.027562592,2.72e-05,0.004685237,0.633601149,0.00043352599999999815,0.08692913099999999,0.044375554,0.080588287,2.72e-05,0.711196028
5,0.021311252,0.00023806689679800025,0.027562592,3.31e-05,0.098082622,0.90346993,1.699999999999818e-05,0.0036716539999999864,0.263727329,0.188362416,3.31e-05,0.865208359
6,0.94862475,0.0003967781613300004,0.014642707,0.000297985,1.01e-36,0.002057663,0.016194294999999997,0.0012469079999999865,0.005534014,0.000422875,0.000297985,0.001954347
7,0.939042345,0.0005951672419950006,0.05081841,0.000383124,6.16e-38,0.001929053,0.034581045,0.0017122269999999865,0.00222395,0.000480542,0.000383124,0.001628623
8,0.959018554,0.0006348450581280007,0.082687471,0.0006448,4.72e-24,0.032770022,0.115119489,0.08881839599999998,0.002585988,0.002710424,0.0006448,0.034037829
9,0.968603179,0.0006745228742610007,0.055986355,0.001168153,2.56e-20,0.057303354,0.044589139,0.163702685,0.008068282,0.007385123,0.001168153,0.065844477
10,0.948923299,0.0007935563226600008,0.03100791,0.000512084,4.12e-35,0.004133697,0.017540560999999996,0.007161542999999987,0.002327389,0.00105911,0.000512084,0.003908695
11,0.959009675,0.0008332341387930008,0.012920059,0.000231627,7.69e-25,0.029163964,0.011909173999999998,0.08491626399999999,0.002430829,0.001647926,0.000231627,0.029784797
12,0.959310847,0.0009125897710590009,0.02928524,9.7e-05,2.98e-22,0.043490192,0.03213003,0.20732484,0.003154905,0.005122797,9.7e-05,0.050228581
13,0.949546931,0.000952267587192001,0.035314531,0.001176917,3.73e-33,0.006861733,0.016255115999999997,0.009306369999999986,0.007344206,0.001363194,0.001176917,0.007920536
14,0.959614339,0.000991945403325001,0.018949328,0.00010129,2.7e-22,0.046583944,0.008364228999999999,0.162914915,0.004654778,0.003848113,0.00010129,0.052635711
15,0.959320633,0.001031623219458001,0.047373092,0.002755551,4.85e-22,0.059407656,0.007597460999999998,0.27058271,0.012671341,0.012422352,0.002755551,0.067553724
16,0.968703468,0.001071301035591001,0.032730559,0.000610995,2.5e-19,0.07309061,0.015692167999999996,0.10972392099999999,0.00424102,0.007403203,0.000610995,0.078038965
17,0.968804969,0.0011506566678570012,0.02928524,0.000130212,2e-18,0.083206363,0.023921318999999996,0.08969523099999999,0.004809938,0.00902668,0.000130212,0.085405674
18,0.969525662,0.0011903344839900012,0.049095762,0.000975339,1.36e-15,0.097641534,0.032614406,0.179074554,0.007706244,0.019041782,0.000975339,0.103103634
19,0.959324669,0.0012696901162560013,0.018088004,0.000241644,1.04e-21,0.042092733,0.013871215999999999,0.04492068499999999,0.005016817,0.002987238,0.000241644,0.046529668
20,0.969516682,0.0013093679323890014,0.061154322,0.001843202,5.14e-16,0.109904381,0.016466645999999998,0.17981761,0.026015039,0.025556351,0.001843202,0.116281261
21,0.969101701,0.0013887235646550015,0.046511767,0.000891452,3.32e-17,0.090446981,0.025688379999999997,0.139265466,0.0086372,0.017035288,0.000891452,0.09543463
22,0.969314085,0.0014680791969210014,0.05081841,0.001183177,5.81e-16,0.109143992,0.021443287999999998,0.220093107,0.01717096,0.022133055,0.001183177,0.115014684
23,0.999989608,0.0015077570130540014,0.024978619,0.000176538,2.49e-06,0.353760304,0.0033522269999999984,0.009451781999999987,0.00641325,0.007414327,0.000176538,0.420070414
24,0.989887996,0.0016664682775860017,0.024978619,1.36e-05,3.93e-09,0.278718519,5.839999999999818e-05,0.11397104299999998,0.014740131,0.012307045,1.36e-05,0.323112134
25,0.98988729,0.001864857358251002,0.060292998,0.000186554,5.46e-06,0.361507872,3.099999999999818e-05,0.293634879,0.037083068,0.021288647,0.000186554,0.416043749
26,0.999787111,0.001983890806650002,0.030146586,0.00050332,4.95e-06,0.375753328,0.0031400599999999983,0.08894090599999999,0.037703705,0.014344176,0.00050332,0.447608393
27,0.000231756,0.002142602071182002,0.025839943,0.00075498,2.78e-05,0.386597851,0.0018670629999999982,0.013268847999999986,0.022136057,0.012954469,0.00075498,0.466526654
28,0.988996084,0.002221957703448002,0.013781383,2.22e-05,5.68e-17,0.084970063,0.0029137499999999984,0.158903724,0.003051466,0.007832343,2.22e-05,0.087784545
29,0.999185474,0.0023013133357140023,0.004306795,4.9e-06,9.22e-07,0.334655975,0.00022418899999999817,0.008288485999999986,0.002585988,0.004016938,4.9e-06,0.354591906
30,0.001131235,0.002340991151847002,0.049957086,0.001393758,0.000849372,0.506620752,0.008528657999999998,0.11443672499999999,0.019705228,0.03327862,0.001393758,0.587416031
31,0.010819278,0.0023806689679800024,0.028423916,0.000689874,0.001274137,0.554737894,0.0010183979999999983,0.017049560999999987,0.028135549,0.036161521,0.000689874,0.607107165
