,Id,degree centrality,betweenness centrality,closeness centrality,eigenvector centrality,Katz-Centrality,Percolation-Centrality,Harmonic centrality,hubscore,authoritiesscore,Page-Rank,rank-Prestige
0,0.9289426579440773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.790129144682082e-16,5.049624004837804e-16,0.0,0.0
1,0.9990682330843946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.776408144850348e-16,5.049624004837804e-16,0.0,0.0
2,0.9795041547118499,0.05263159410249256,0.011846042489049408,0.01738206822161056,3.9623299634475125e-20,0.05481925960636919,0.011846042489049408,0.018360041065204016,4.781207485650626e-16,5.057701286002775e-16,0.009664480486847505,0.08333333333333333
3,0.9787948616510264,0.1052631882049851,0.607433345023916,0.3171576452785311,0.00019427244671530372,0.11393154963737334,0.607433345023916,0.30962275995637656,4.77550820021581e-16,5.043907449360629e-16,0.053132027681517584,0.1388888888888889
4,0.00022257474995401703,0.05263159410249256,0.0001245233600226847,0.0030575102212947085,7.339477016621847e-32,0.049285395558341404,0.0001245233600226847,0.0026167674678117636,4.778222226892491e-16,5.050172370715059e-16,0.002490190586609496,0.027777777777777776
5,0.9789999815361835,0.05263159410249256,3.115415898694884e-05,0.0030575102212947085,7.339477016621847e-32,0.049285395558341404,3.115415898694884e-05,0.0026167674678117636,4.755090736172313e-16,5.053001007054875e-16,0.002490190586609496,0.027777777777777776
6,0.9286395688466784,0.05263159410249256,0.0009654058248949715,0.0030575102212947085,7.339477016621847e-32,0.049285395558341404,0.0009654058248949715,0.0026167674678117636,4.779791620068196e-16,5.04280648312058e-16,0.002490190586609496,0.08333333333333333
7,0.0007096966415124912,0.0,0.0,0.004076674719181933,3.3109731858220176e-30,0.05421393918328298,0.0,0.003925151201717645,4.776414013016135e-16,5.054620697773409e-16,0.004601707038352175,0.08333333333333333
8,0.968815824640962,0.05263159410249256,0.0002336561924021163,0.0055035083617506544,6.534062484447301e-30,0.05914244211715009,0.0002336561924021163,0.005233534935623527,4.784550975459737e-16,5.049757391132271e-16,0.006713350540634986,0.08333333333333333
9,0.9589238601645378,0.15789478230747767,0.24007777346635725,0.13142402791667987,5.559089799463781e-19,0.1906723117665485,0.24007777346635725,0.12943134168380607,4.800125496866466e-16,5.00653811448206e-16,0.029080153454183383,0.2222222222222222
10,0.9489209109986534,0.05263159410249256,0.005923021244524704,0.006948892949354532,1.9427162172272177e-28,0.06012818339499798,0.005923021244524704,0.006978046581703625,4.795007910423947e-16,5.051243695556337e-16,0.005145483350122003,0.08333333333333333
11,0.9283389012334132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781036899435876e-16,5.049624004837804e-16,0.0,0.0
12,0.9391361980903167,0.1052631882049851,0.01795561558379536,0.006879389634096576,3.370112439007803e-30,0.10349929405054985,0.01795561558379536,0.006541918669529409,4.798760807148461e-16,5.045495381437622e-16,0.0070934222314432685,0.1111111111111111
13,0.9695199720480014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.772968171478174e-16,5.049624004837804e-16,0.0,0.0
14,0.959528121351063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.773224050800299e-16,5.049624004837804e-16,0.0,0.0
15,0.0009248051487209973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781770420159303e-16,5.049624004837804e-16,0.0,0.0
16,0.9490285661474298,0.2105263764099702,0.12288963219437213,0.06871663140397985,6.889722987894026e-25,0.2557369328549256,0.12288963219437213,0.06991130419042683,4.776316778873727e-16,5.006114665928195e-16,0.04146516715690176,0.1388888888888889
17,0.9287474257857994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.772132299025896e-16,5.049624004837804e-16,0.0,0.0
18,0.9286495574687298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769709974776437e-16,5.049624004837804e-16,0.0,0.0
19,0.9686027340371982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.782538058125681e-16,5.049624004837804e-16,0.0,0.0
20,0.9391371061468669,0.2105263764099702,0.01739596003313161,0.01273961477030593,3.5179605719722656e-30,0.20207008516723257,0.01739596003313161,0.011775453605152936,4.772456412833922e-16,5.071431605361841e-16,0.012076789092355388,0.16666666666666666
21,0.9586179460023163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.778989864858869e-16,5.049624004837804e-16,0.0,0.0
22,0.9492314663387977,0.1052631882049851,0.0173493220705763,0.006879389634096576,3.370112439007803e-30,0.10349929405054985,0.0173493220705763,0.006541918669529409,5.216526447072621e-16,5.050894350499398e-16,0.0070934222314432685,0.1388888888888889
23,0.9790005869072169,0.05263159410249256,0.001277880174015566,0.004076674719181933,3.3109731858220176e-30,0.05421393918328298,0.001277880174015566,0.003925151201717645,4.774162274981427e-16,5.047676141490025e-16,0.004601707038352175,0.08333333333333333
24,0.9685954695847971,0.05263159410249256,7.788539746737209e-05,0.0030575102212947085,7.339477016621847e-32,0.049285395558341404,7.788539746737209e-05,0.0026167674678117636,4.769607623047587e-16,5.053689110954906e-16,0.002490190586609496,0.05555555555555555
25,0.9392351762542809,0.05263159410249256,0.0025697517367977256,0.0030575102212947085,7.339477016621847e-32,0.049285395558341404,0.0025697517367977256,0.0026167674678117636,4.780627492520475e-16,5.050047453391669e-16,0.002490190586609496,0.05555555555555555
26,0.9588185256047228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.781787478780778e-16,5.049624004837804e-16,0.0,0.0
27,0.9389423784644502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76766294019943e-16,5.049624004837804e-16,0.0,0.0
