Id,score
100,42444444444444.555
101,254540000000000.75
102,42444444444444.555
103,84888888888889.11
104,42444444444444.555
105,42444444444444.555
106,42444444444444.555
107,84888888888889.11
108,42444444444444.555
109,42444444444444.555
110,42444444444444.555
111,42444444444444.555
112,169693333333333.8
113,509081111111112.5
114,42444444444444.555
115,1357548888888892.8
116,169693333333333.8
117,84888888888889.11
118,127270000000000.38
119,551504444444445.94
120,466657777777779.1
121,42444444444444.555
122,84888888888889.11
200,254540000000000.75
201,42444444444444.555
202,84888888888889.11
203,42444444444444.555
204,84888888888889.11
205,84888888888889.11
206,42444444444444.555
207,42444444444444.555
208,42444444444444.555
209,296963333333334.2
210,84888888888889.11
211,806044444444446.8
212,42444444444444.555
213,42444444444444.555
214,381810000000001.06
215,2672673333333341.0
216,127270000000000.38
217,127270000000000.38
218,509081111111112.5
219,42444444444444.555
220,212116666666667.28
221,466657777777779.1
222,254540000000000.75
223,424234444444445.6
224,509081111111112.5
225,42444444444444.555
300,254540000000000.75
301,1230278888888892.2
302,1315125555555559.5
303,84888888888889.11
304,169693333333333.8
305,424234444444445.6
306,127270000000000.38
307,42444444444444.555
308,84888888888889.11
309,636351111111113.0
310,890891111111113.5
311,975737777777780.4
312,593927777777779.4
313,424234444444445.6
314,127270000000000.38
315,381810000000001.06
316,1569665555555559.5
317,806044444444446.8
318,84888888888889.11
319,339386666666667.6
320,84888888888889.11
321,1187855555555558.8
322,84888888888889.11
323,169693333333333.8
324,466657777777779.1
325,84888888888889.11
326,509081111111112.5
327,42444444444444.555
328,1484818888888893.0
329,721197777777779.9
330,254540000000000.75
400,1484818888888893.0
401,466657777777779.1
402,1145431111111114.2
403,933314444444447.2
404,84888888888889.11
405,254540000000000.75
406,933314444444447.2
407,381810000000001.06
408,848467777777780.1
409,254540000000000.75
410,84888888888889.11
411,254540000000000.75
412,169693333333333.8
413,127270000000000.38
414,975737777777780.4
415,509081111111112.5
416,42444444444444.555
417,296963333333334.2
418,127270000000000.38
419,593927777777779.4
420,763621111111113.1
500,254540000000000.75
501,254540000000000.75
502,3605988888888899.0
503,169693333333333.8
504,1357548888888892.8
505,848467777777780.1
506,848467777777780.1
507,254540000000000.75
508,466657777777779.1
509,212116666666667.28
510,84888888888889.11
511,339386666666667.6
512,4115068888888900.5
513,763621111111113.1
514,890891111111113.5
515,1739358888888893.8
516,721197777777779.9
517,636351111111113.0
518,42444444444444.555
519,42444444444444.555
520,1103007777777780.9
521,721197777777779.9
522,466657777777779.1
523,1739358888888893.8
524,84888888888889.11
525,593927777777779.4
526,296963333333334.2
527,466657777777779.1
528,169693333333333.8
600,636351111111113.0
601,551504444444445.94
602,1399972222222226.2
603,721197777777779.9
604,678774444444446.4
605,848467777777780.1
606,890891111111113.5
607,127270000000000.38
608,1103007777777780.9
609,127270000000000.38
610,678774444444446.4
611,84888888888889.11
612,42444444444444.555
613,2163593333333339.2
614,296963333333334.2
615,212116666666667.28
616,254540000000000.75
617,721197777777779.9
618,848467777777780.1
619,127270000000000.38
620,1527242222222226.2
621,2036323333333339.0
622,296963333333334.2
623,509081111111112.5
624,84888888888889.11
625,2121170000000006.0
700,212116666666667.28
701,1145431111111114.2
702,1696935555555560.2
703,212116666666667.28
704,763621111111113.1
705,636351111111113.0
706,593927777777779.4
707,381810000000001.06
708,1696935555555560.2
709,254540000000000.75
710,1018161111111114.0
711,551504444444445.94
712,296963333333334.2
713,127270000000000.38
714,127270000000000.38
715,509081111111112.5
716,509081111111112.5
717,169693333333333.8
718,509081111111112.5
719,42444444444444.555
720,2121170000000006.0
721,169693333333333.8
722,42444444444444.555
723,1018161111111114.0
724,84888888888889.11
725,806044444444446.8
800,169693333333333.8
801,763621111111113.1
802,466657777777779.1
803,466657777777779.1
804,127270000000000.38
805,84888888888889.11
806,84888888888889.11
807,763621111111113.1
808,806044444444446.8
809,84888888888889.11
810,127270000000000.38
811,1103007777777780.9
812,127270000000000.38
813,169693333333333.8
814,806044444444446.8
815,84888888888889.11
816,636351111111113.0
817,169693333333333.8
818,42444444444444.555
819,551504444444445.94
820,381810000000001.06
821,42444444444444.555
