Id,ANP,,,,,,,,,,
303065,4.08E-05,,,,,,,,,,
303194,0.006062998,,,,,,,,,,
9604021,0.008506109,,,,,,,,,,
304036,0.000764262,,,,,,,,,,
9707062,0.000760351,,,,,,,,,,
304238,0.002141834,,,,,,,,,,
9601016,0.002624821,,,,,,,,,,
9603188,0.001044246,,,,,,,,,,
9606070,0.000722802,,,,,,,,,,
9706210,0.027026074,,,,,,,,,,
9709198,0.004092407,,,,,,,,,,
3090,2.60E-06,,,,,,,,,,
9606157,0.00769165,,,,,,,,,,
3142,0.001335534,,,,,,,,,,
9703072,0.000899099,,,,,,,,,,
9612104,0.002828621,,,,,,,,,,
9703215,8.84E-05,,,,,,,,,,
5076,0.000594513,,,,,,,,,,
9812085,2.68E-05,,,,,,,,,,
9906207,9.62E-05,,,,,,,,,,
6086,0.000323853,,,,,,,,,,
9903182,0.000271442,,,,,,,,,,
7191,0.010670096,,,,,,,,,,
8157,9.07E-05,,,,,,,,,,
9706074,2.60E-06,,,,,,,,,,
9707036,0.000752528,,,,,,,,,,
9707089,0.003305256,,,,,,,,,,
9707197,0.000111862,,,,,,,,,,
9707226,0.000776778,,,,,,,,,,
9707249,0.000379393,,,,,,,,,,
9708113,0.000139241,,,,,,,,,,
9903268,0.036775129,,,,,,,,,,
9908199,0.003641711,,,,,,,,,,
9910012,0.000130636,,,,,,,,,,
9911034,6.56E-05,,,,,,,,,,
9021,0.000238587,,,,,,,,,,
9139,0.011538851,,,,,,,,,,
9149,0.000143935,,,,,,,,,,
10079,0.002785167,,,,,,,,,,
9903103,4.19E-06,,,,,,,,,,
9610244,0.004396876,,,,,,,,,,
10272,0.00955788,,,,,,,,,,
11146,0.000507683,,,,,,,,,,
11204,0.00038878,,,,,,,,,,
12122,0.001431454,,,,,,,,,,
12162,5.79E-06,,,,,,,,,,
9903092,0.013453621,,,,,,,,,,
101013,0.001447928,,,,,,,,,,
101021,3.72E-05,,,,,,,,,,
9909034,0.000274571,,,,,,,,,,
104033,0.00054836,,,,,,,,,,
104077,3.45E-07,,,,,,,,,,
106040,0.000862192,,,,,,,,,,
106093,8.53E-06,,,,,,,,,,
106193,0.006603339,,,,,,,,,,
107072,0.000583561,,,,,,,,,,
9609230,0,,,,,,,,,,
9610043,0.38108056,,,,,,,,,,
9908152,0.000360619,,,,,,,,,,
9703052,0.001456322,,,,,,,,,,
9705130,0.003064706,,,,,,,,,,
107200,0.000890752,,,,,,,,,,
9707079,0.00236638,,,,,,,,,,
9612120,0.001074621,,,,,,,,,,
9709107,0.007133684,,,,,,,,,,
9705029,0.005006251,,,,,,,,,,
107250,0.000111862,,,,,,,,,,
9711081,0.002520914,,,,,,,,,,
9710153,0.00206213,,,,,,,,,,
9811220,0.00049986,,,,,,,,,,
204240,0.00038878,,,,,,,,,,
9612215,0.003004519,,,,,,,,,,
9710217,0.00546146,,,,,,,,,,
9710226,0.000255015,,,,,,,,,,
9711138,0.011505731,,,,,,,,,,
9912244,0.001464207,,,,,,,,,,
9703056,0.002418431,,,,,,,,,,
9708012,0.000272224,,,,,,,,,,
9705194,0.000689165,,,,,,,,,,
9907046,0.001402111,,,,,,,,,,
9902106,0.001000721,,,,,,,,,,
203191,0.003036818,,,,,,,,,,
9612102,0.005652401,,,,,,,,,,
9612164,0.004112589,,,,,,,,,,
9612171,0.001319036,,,,,,,,,,
108128,0.000463094,,,,,,,,,,
9711073,0.000982221,,,,,,,,,,
9911170,0.000601553,,,,,,,,,,
9708068,0.001794279,,,,,,,,,,
9711117,0.00072906,,,,,,,,,,
9612162,0.00110552,,,,,,,,,,
9702006,0.001035336,,,,,,,,,,
9704041,0.001804894,,,,,,,,,,
9710247,0.002298668,,,,,,,,,,
9705047,0.00058669,,,,,,,,,,
9711052,0.005482331,,,,,,,,,,
9712090,0.00465904,,,,,,,,,,
9905064,0.002243417,,,,,,,,,,
9707214,0.001212767,,,,,,,,,,
9711012,0.001372988,,,,,,,,,,
108176,0.000851201,,,,,,,,,,
9707261,0.001569717,,,,,,,,,,
9709029,0.000345756,,,,,,,,,,
9707162,0.001263684,,,,,,,,,,
108190,0.00061094,,,,,,,,,,
108198,0.002084941,,,,,,,,,,
9712061,0.000771302,,,,,,,,,,
9706168,0.002404358,,,,,,,,,,
108207,0.000258144,,,,,,,,,,
9706192,0.005402737,,,,,,,,,,
108233,0.000510812,,,,,,,,,,
9611215,0.000675085,,,,,,,,,,
109049,0.000504554,,,,,,,,,,
109070,0.00344025,,,,,,,,,,
9704051,0.004070058,,,,,,,,,,
9811165,4.47E-05,,,,,,,,,,
203083,0.001530127,,,,,,,,,,
