Id,degree_centrality
0.96859471,0
0.968594609,0
0.999376469,0.002950177
0.968595013,0
0.968594912,0
0.968594811,0.399705208
0.968595114,0.004425101
0.010412971,0.004425101
0.968595517,0.007374949
0.968595618,0
0.968595719,0.004425101
0.96859582,0.005900025
0.968595921,0.0781714
0.968596022,0.02802391
0.968596122,0.160767244
0.968596223,0.004425101
0.968596324,0.004425101
0.999376771,0.002950177
0.968596526,0.007374949
0.968596425,0.004425101
0.010412568,0.011799745
0.968596627,0.002950177
0.96859693,0
0.968597031,0.002950177
0.968597131,0.001475253
0.968597232,0.007374949
0.968597333,0.022124214
0.999376973,0.008849873
0.010413476,0.001475253
0.968597636,0.001475253
0.968597737,0.001475253
0.968597838,0.008849873
0.968597939,0.010324821
0.968598039,0.0781714
0.968597434,0.002950177
0.968597535,0.039823327
0.968598342,0.004425101
0.999377175,0
0.968598443,0.002950177
0.968598645,0.001475253
0.968598544,0
0.968598847,0.001475253
0.968598948,0
0.999377276,0.032448706
0.968599149,0.001475253
0.968599048,0.001475253
0.968599351,0.002950177
0.968599452,0.013274669
0.968599553,0.004425101
0.968599654,0.001475253
0.968599755,0
0.968599856,0.002950177
0.968599956,0.004425101
0.999377478,0.039823327
0.968600158,0.02064929
0.968600259,0
0.96860036,0.010324821
0.999377579,0.008849873
0.968600562,0.004425101
0.968600663,0.014749593
0.968600461,0.001475253
0.968600865,0.050147795
0.968600965,0.001475253
0.968601066,0.001475253
0.99937768,0.004425101
0.968601268,0.017699441
0.968601369,0.001475253
0.99937778,0.014749593
0.968601571,0.014749593
0.96860147,0.004425101
0.968601773,0.002950177
0.968601873,0.001475253
0.968601974,0.017699441
0.999377881,0.051622743
0.968602075,0.017699441
0.968602176,0.026548986
0.968602378,0
0.999377982,0
0.96860258,0.011799745
0.968602479,0.001475253
0.968602681,0.004425101
0.968602882,0
0.968602983,0.002950177
0.968603084,0.001475253
0.968603185,0.036873478
0.968603286,0.013274669
0.968603387,0
0.968603488,0.005900025
0.999378184,0.011799745
0.96860369,0.016224517
0.968603791,0.008849873
0.968603891,0.026548986
0.968603992,0.004425101
0.968603589,0.007374949
0.000819268,0.007374949
0.01041287,0.004425101
0.968604295,0.005900025
0.999378386,0.001475253
0.968604497,0
0.968604598,0
0.968604699,0
0.968604194,0.007374949
0.968605001,0.001475253
0.968605102,0.001475253
0.968605203,0.002950177
0.999378487,0.001475253
0.968605304,0
0.968605405,0
0.968605708,0
0.968605808,0
0.968605909,0.010324821
0.96860601,0.007374949
0.968606111,0.002950177
0.999378688,0.001475253
0.968606313,0.007374949
0.968606414,0
0.968606515,0.001475253
0.968606616,0.002950177
0.968606716,0.039823327
0.968606817,0.001475253
0.968606918,0.008849873
0.968607019,0.011799745
0.999378789,0
0.968607221,0.005900025
0.968607322,0
0.968607423,0.094395589
0.999378991,0.008849873
0.968607625,0.072271704
0.968607524,0
0.968607826,0.005900025
0.968607927,0.004425101
0.968608028,0
0.999379092,0.001475253
0.96860823,0.005900025
0.968608331,0.007374949
0.968608432,0.004425101
0.968608533,0.002950177
0.968608633,0.010324821
0.968608129,0.004425101
0.968608835,0.026548986
0.968608936,0.001475253
0.968609037,0.007374949
0.999379294,0.045723023
0.968609138,0.054572591
0.96860934,0.004425101
0.968609441,0.017699441
0.999379395,0.016224517
0.968609239,0
0.968609743,0.025074062
0.968609844,0.007374949
0.968609945,0.008849873
0.999379496,0
0.968610147,0.103245134
0.968609642,0.007374949
0.968610046,0.016224517
0.968609542,0
0.999379597,0.002950177
0.030388773,0.001475253
0.999379798,0.013274669
0.959518497,0
0.999380101,0.010324821
0.999380202,0.001475253
0.999380303,0
0.999380404,0.001475253
0.999380505,0.007374949
0.999380706,0.001475253
0.999380807,0
0.99938111,0
0.999381211,0.002950177
0.999381614,0.001475253
0.999381715,0.014749593
0.999381917,0.001475253
0.958704476,0.002950177
0.958704577,0.007374949
0.958704677,0.004425101
0.958704879,0.025074062
0.999382119,0
0.000820075,0.017699441
0.958705283,0.002950177
0.958705384,0
0.958705485,0
0.958705586,0
0.958705787,0
0.958705888,0.007374949
0.958705989,0.004425101
0.95870609,0
0.9994702,0.02802391
0.958706292,0.013274669
0.999382422,0.002950177
0.958706393,0.002950177
0.958706594,0.001475253
0.958706695,0.002950177
0.958706494,0.004425101
0.958706897,0.042773175
0.958706796,0.002950177
0.958707099,0.001475253
0.9587072,0.001475253
0.958707301,0.005900025
0.958707402,0.002950177
0.999382623,0.010324821
0.958707603,0.042773175
0.958707704,0.002950177
0.958707805,0.004425101
0.958708007,0.002950177
0.958708108,0.004425101
0.958708209,0.001475253
0.958708411,0
0.958708511,0
0.958708612,0.002950177
0.999470301,0.005900025
0.958708814,0.004425101
0.958708915,0.001475253
0.999382926,0.002950177
0.958709016,0.029498834
0.958708713,0.002950177
0.95870952,0.001475253
0.958709621,0.011799745
0.958709722,0
0.958709924,0
0.958710025,0
0.958710126,0.004425101
0.958710227,0
0.958710428,0.047197947
0.958710529,0
0.999383229,0.004425101
0.95871063,0.005900025
0.958710832,0.001475253
0.958710933,0.002950177
0.99938333,0.001475253
0.958710731,0
0.958711236,0.005900025
0.958711337,0
0.958711437,0.001475253
0.958711538,0.004425101
0.958711639,0.010324821
0.010413879,0.004425101
0.958711841,0.014749593
0.958711942,0.001475253
0.999383531,0.002950177
0.958712144,0
0.958712245,0.008849873
0.958712345,0.002950177
0.958712446,0.026548986
0.999383632,0.004425101
0.958712648,0.001475253
0.958712749,0
0.95871285,0.016224517
0.01041277,0.005900025
0.958713052,0.001475253
0.958713153,0
0.958713254,0.076696476
0.958713354,0
0.958713455,0.017699441
0.958713556,0.005900025
0.999383834,0.001475253
0.958713758,0.001475253
0.958713859,0
0.95871396,0.02064929
0.999383935,0.005900025
0.958714162,0.010324821
0.958714262,0.010324821
0.958714363,0.001475253
0.958714464,0.002950177
0.958714565,0.041298251
0.958714666,0
0.958714767,0.005900025
0.958714868,0
0.958714969,0
0.95871507,0.004425101
0.999384137,0.011799745
0.958715171,0.016224517
0.958715372,0.004425101
0.030389681,0
0.958715473,0.002950177
0.958715675,0
0.958715776,0.001475253
0.958715877,0
0.958715978,0.002950177
0.979100707,0.017699441
0.958716179,0.087020945
0.958716079,0.005900025
0.95871628,0
0.958716482,0
0.958716583,0.001475253
0.010414081,0.001475253
0.958716886,0.079646324
0.958716987,0
0.99938454,0.712389471
0.958717188,0.001475253
0.958717289,0.004425101
0.95871739,0.023599138
0.958717491,0
0.999384641,0.001475253
0.958717693,0
0.958717794,0.067846908
0.958717895,0.008849873
0.030389782,0.005900025
0.958718096,0.008849873
0.958718197,0
0.999384742,0.001475253
0.958718399,0.008849873
0.9587185,0.004425101
0.979100807,0
0.958718702,0.004425101
0.958718803,0.011799745
0.999470705,0.004425101
0.958719005,0.002950177
0.958718601,0.007374949
