,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank
3253,0.9888874191843261,0.063605276,0.257327644,0.000281202,6.88e-11,0.041153111693272175,0.247257396,0.00044141,0.107386878,0.00118231,0.000281202,0.031200234
3254,0.9888891344001774,0.062427431,0.16447586,0.007839884,1.76e-14,0.027556512938617026,0.163504319,0.002795304,0.10636411,0.015384628,0.007839884,0.014381358
3255,0.9888906478259286,0.116608756,0.066412701,0.00590227,2.03e-16,0.016201877676335612,0.060579674,0.095906972,0.001829341,0.117159769,0.00590227,0.000446878
3256,0.9888908496160288,0.020024642,0.227935214,0.00858512,1.04e-11,0.034475842600487826,0.206571437,0.001366691,0.007816274,0.011834334,0.00858512,0.007556307
3257,0.9888918585665295,0.022380361,0.152626332,0.002305264,7.92e-12,0.023429405194103498,0.134034573,0.018609825,0.017378738,0.017751471,0.002305264,0.002803146
3258,0.9888921612516798,0.022380361,0.140330616,0.00180844,6.31e-13,0.021612704005770457,0.124609578,0.01620321,0.008855672,0.020118344,0.00180844,0.001584387
3259,0.9888926657269301,0.05418246,0.029500416,0.010681221,3.44e-22,0.007281149587225605,0.027178867,0.045911764,0.002294991,0.053254443,0.010681221,0.025106438
3260,0.988973179976893,0.093051657,0.265189725,0.367368335,5.59e-05,0.0502006475137979,0.228033752,0.084866892,0.011807563,0.089940837,0.367368335,0.005443791
3261,0.9889732808719431,0.142521573,0.15517065,0.017537394,5.64e-12,0.030933684971294256,0.140007695,0.121364142,0.094966486,0.140828407,0.017537394,0.001584387
3262,0.9889743907174939,0.022380361,0.173174677,0.001530218,1.71e-11,0.02643851019628892,0.152983601,0.01108599,0.211951998,0.014201177,0.001530218,0.002112516
3263,0.9889745925075941,0.101296657,0.123383047,0.038783779,7.66e-15,0.02425603675075219,0.112737741,0.075865614,0.002910315,0.10059172,0.038783779,0.000528129
3264,0.9889753996679947,0.041226051,0.164320811,0.006071191,1.03e-11,0.02629088044831171,0.149662248,0.028750322,0.198195771,0.030769227,0.006071191,0.005931294
3265,0.988975702353145,0.022380361,0.11809306,0.018531042,5.42e-16,0.018622655425179865,0.116425461,0.002176091,0.033634925,0.007100589,0.018531042,0.018768891
3266,0.9889759041432451,0.038870333,0.178244511,0.018288592,2.39e-11,0.028408811144361803,0.162158013,0.018909126,0.239221649,0.02485206,0.018288592,0.004915662
3267,0.9889762068283954,0.070672403,0.1797157,0.009469467,1.92e-11,0.030296999422271317,0.173510993,0.022639973,0.080142173,0.057988159,0.009469467,0.001746888
3268,0.9889767113036457,0.005890389,0.012299966,0.0,4.52e-22,0.0018089535775586585,0.012755516,1.1299999999999951e-06,6.319999999999086e-07,0.00118231,0.0,0.110184764
3269,0.988977013988796,0.029447487,0.139202072,0.007969059,1.65e-12,0.021954447165697003,0.1202332,0.017519878,0.001064344,0.027218932,0.007969059,0.002437518
3270,0.988978224729397,0.073028122,0.28702802,0.063188871,1.66e-05,0.04713012481519998,0.285070335,0.03462966,0.393472081,0.039053266,0.063188871,0.006256297
3271,0.9889784265194971,0.030625332,0.0,0.0,0.0,0.001415316930668663,0.0,0.029415003,4.575000000000001e-19,0.031952648,0.0,0.0
3272,0.9889785274145472,0.055360305,0.242954277,0.005633985,1.66e-11,0.03865717761839949,0.230959013,0.010034169,0.10423085,0.013017755,0.005633985,0.013406351
3273,0.9889789309947475,0.038870333,0.185650124,0.000732319,3.67e-11,0.029203498936664678,0.173376329,0.000751901,0.132704539,0.003550294,0.000732319,0.009181319
3274,0.9889791327848476,0.018846797,0.157857471,0.00110295,2.74e-11,0.02397640352050553,0.139628333,0.01058341,0.020496932,0.010650883,0.00110295,0.003331275
3275,0.9889792336798977,0.035336769,0.176354603,0.008754041,1.21e-11,0.027768736453272547,0.156216255,0.015844553,0.116437542,0.026035511,0.008754041,0.002925022
3276,0.9889798390501983,0.050648868,0.203623656,0.046410128,6.33e-11,0.03328706800960374,0.201143163,0.008187012,0.053820454,0.031952648,0.046410128,0.019947025
3277,0.9889799399452482,0.044759615,0.26166032,0.01055006,4.9e-06,0.04088850952816378,0.25636783,0.028655096,0.23218035,0.030769227,0.01055006,0.003412526
3278,0.9889807471056489,0.05418246,0.134095612,0.002464248,7.66e-13,0.0225264479173663,0.114787754,0.03881063,0.108568466,0.053254443,0.002464248,0.000568754
3279,0.988980848000699,0.041226051,0.279156454,0.028968124,2.15e-05,0.04358299050897573,0.264501984,0.026575248,0.332377919,0.026035511,0.028968124,0.002396893
3280,0.9889813524759494,0.012957515,0.153242654,0.000230526,7.37e-12,0.02294606531919913,0.133539199,0.005348054,0.192765123,0.009467461,0.000230526,0.000568754
3281,0.9889816551610996,0.017668953,0.259877809,0.007392743,1.66e-05,0.03903347342180673,0.233647737,0.010800931,0.20865669,0.011834334,0.007392743,0.001462511
3282,0.9889817560561497,0.032981051,0.216055259,0.01305773,1.13e-11,0.033545020934064314,0.197489093,0.011550046,0.055912554,0.020118344,0.01305773,0.003453151
3283,0.9889821596363501,0.055360305,0.288832345,0.015318279,2.93e-05,0.045592705738794446,0.291407161,0.008396483,0.317970197,0.010650883,0.015318279,0.019337645
3284,0.988983471272001,0.023558206,0.127104547,0.000979737,8.63e-14,0.019721004544669452,0.116010912,0.016213339,0.011932291,0.017751471,0.000979737,0.001340635
3285,0.9889839757472514,0.062427431,0.215010642,0.002424502,4.07e-12,0.03489797885111729,0.208215923,0.000437872,0.264980014,0.005917167,0.002424502,0.027381455
3286,0.9889840766423015,0.078917403,0.300283439,0.070484833,3.8e-05,0.049557805890313306,0.303644413,0.022072553,0.426297522,0.023668638,0.070484833,0.021125158
3287,0.9889842784324017,0.048293178,0.286622435,0.037597363,3.42e-05,0.04524132933267586,0.279183436,0.008574905,0.37208875,0.014201177,0.037597363,0.009100068
3288,0.9889847829076521,0.038870333,0.076584905,0.002812024,6.8e-17,0.013197838381182015,0.070371701,0.016189587,0.039996042,0.029585805,0.002812024,0.002193766
3289,0.9889850855928023,0.018846797,0.162665007,0.005723414,1.83e-11,0.024760962899756035,0.142294881,0.012137016,0.007067908,0.015384628,0.005723414,0.000975007
3290,0.9889862963334033,0.203770024,0.170195582,0.021690744,1.89e-11,0.036717803091850285,0.149695417,0.185809082,0.116417585,0.197633145,0.021690744,0.001950015
3291,0.9889866999136036,0.038870333,0.150090231,0.000791938,1.3e-11,0.023974599912729388,0.129238851,0.038083055,0.029227877,0.037869815,0.000791938,8.13e-05
3292,0.9889869017037037,0.055360305,0.294321556,0.026396265,4.92e-05,0.046603336299059384,0.284410641,0.026480508,0.064705031,0.030769227,0.026396265,0.008734441
3293,0.9889870025987538,0.023558206,0.250945977,0.015716534,1.66e-05,0.038196448362776386,0.222501079,0.005970274,0.112780523,0.01656805,0.015716534,0.001340635
3294,0.988987204388854,0.042403896,0.238446232,0.009161436,2.66e-11,0.03731195630841289,0.223334139,0.009755302,0.062482382,0.00828401,0.009161436,0.023115798
3295,0.988987305283904,0.038870333,0.065777851,0.000743249,3.76e-18,0.011573713086688526,0.060087258,0.014868231,0.023864582,0.033136099,0.000743249,0.001015633
3296,0.9889899285552061,0.029447487,0.257472132,0.01070328,1.27e-05,0.039405786883252344,0.246789131,0.017397008,0.205069519,0.020118344,0.01070328,0.002031265
3297,0.9889903321354064,0.040048178,0.229587551,0.01000087,3.76e-06,0.035891667702399016,0.211044124,0.021900633,0.005695902,0.036686394,0.01000087,0.001218759
3298,0.9889906348205566,0.050648868,0.303261854,0.025484195,6.75e-05,0.04764932077281538,0.30320336,0.002056672,0.416845651,0.004733716,0.025484195,0.025756443
