,Id,degree centrality,eigenvector centrality,closeness centrality,betweenness centrality,load centrality,pagerank,hubs,authorities,percolation,subgraph,harmonic
198,0.010485379203385678,0.014656144,0.009354338,0.7155604890841752,0.000843078,0.000971673,0.01414478,0.010875338,0.010875338,0.001204712,0.000144379,0.633119999
199,0.9588045698895432,0.014656144,0.027213542,0.7782747011679685,2.33e-05,2.37e-05,0.012351965,0.029104959,0.029104959,9.04e-05,0.001031559,0.692836372
200,0.989678814367008,0.020293123,0.012073445,0.6842484167116634,2.44e-05,4.38e-05,0.015235583,0.010574442,0.010574442,2.41e-05,0.00014332,0.602642647
201,0.9793077752467546,0.037204059,0.060687276,0.8118635236183686,0.002641578,0.002638419,0.015101741,0.043125673,0.043125673,0.002133933,0.002184706,0.729729991
202,0.9587077895367421,0.072153326,0.060689341,0.8142841063547906,0.007291559,0.008231751,0.059838654,0.058605479,0.058605479,0.013000369,0.00373952,0.746711253
203,0.9786818818702445,0.036076663,0.047526689,0.7874376984766824,0.000945305,0.000951828,0.026854297,0.048710968,0.048710968,0.002878567,0.002906204,0.705678228
204,0.9897933562861211,0.018038331,0.004725432,0.7227653780345524,0.000905435,0.001163573,0.018056713,0.005121828,0.005121828,0.002365526,2.8e-05,0.632745027
205,0.010496480182330552,0.02367531,0.040073848,0.8170644202829395,0.001126088,0.001135036,0.013109681,0.051010145,0.051010145,0.000851308,0.002685957,0.764908779
206,0.020369186265949583,0.011273957,0.014358176,0.7805878452927967,0.000171842,0.000249795,0.008337463,0.018996582,0.018996582,0.000266584,0.000380208,0.694461137
207,0.020464351930904276,0.029312289,0.03151505,0.7973668263343651,0.000879072,0.00092241,0.006277644,0.029065984,0.029065984,0.000189839,0.00088398,0.707707132
208,0.989796787497795,0.019165727,0.010172862,0.7552164001204433,0.001860136,0.002148485,0.005741574,0.003144829,0.003144829,1.21e-05,1.07e-05,0.619941147
209,0.020667701681576292,0.11048478,0.15073896,0.8591770160139098,0.014239853,0.014885923,0.01579375,0.029975907,0.029975907,0.005093798,0.000980091,0.741134311
210,0.020772757309590963,0.045095829,0.060932768,0.7721912486150309,0.000578342,0.000711095,0.008582386,0.006247397,0.006247397,0.000367913,4.29e-05,0.661559039
211,0.02077386740748545,0.001127396,0.001373822,0.6624349845278987,6.7e-06,1.31e-05,0.003266247,0.001404859,0.001404859,0.0,2.19e-06,0.570898395
212,0.020775482095331976,0.042841037,0.040912858,0.8122922137416826,0.003309105,0.003479595,0.00987917,0.041152032,0.041152032,0.000768771,0.001767206,0.724149799
213,0.020786482156286444,0.036076663,0.027763309,0.791896673940718,0.005308665,0.005860823,0.004910918,0.006428263,0.006428263,7.26e-05,4.24e-05,0.665904662
214,0.9989737649555416,0.033821871,0.042670763,0.8207117963965428,0.002432236,0.002650177,0.01741702,0.045561323,0.045561323,0.004262951,0.002179812,0.758936509
215,0.020865400024785458,0.018038331,0.037271712,0.819614170226388,0.002443281,0.002649465,0.008371583,0.046576156,0.046576156,0.00037787,0.002255225,0.731892325
216,0.020888712080569694,0.068771139,0.104775717,0.8228889382396464,0.004687928,0.005285108,0.010749662,0.02254883,0.02254883,0.000484399,0.000563249,0.727675342
217,0.020888812998560102,0.041713641,0.061080056,0.7796754563489937,0.000562668,0.000655084,0.007428851,0.008379231,0.008379231,0.000254625,7.35e-05,0.665022742
218,0.020893051554157237,0.043968433,0.065391181,0.7312643177772251,0.000157292,0.000178535,0.005669589,0.00167386,0.00167386,2.8e-05,3.09e-06,0.578341388
219,0.9890725999986275,0.006764374,0.013170915,0.7532014184989669,6.44e-05,7.98e-05,0.006289817,0.012774653,0.012774653,0.00018848,0.000194836,0.666002596
220,0.021073089249045013,0.019165727,0.023578375,0.7231537149091624,0.000634881,0.000713068,0.005669589,0.00167386,0.00167386,2.8e-05,3.09e-06,0.578341388
221,0.02107773147660378,0.02367531,0.013243897,0.7473463992839995,0.000719863,0.00086985,0.005329134,0.005611738,0.005611738,3.95e-05,3.35e-05,0.611422505
222,0.03025339700047512,0.042841037,0.069796387,0.833470685191371,0.006404073,0.006275787,0.011928635,0.028878686,0.028878686,0.00230852,0.000892173,0.745168855
223,0.030269342042959578,0.105975197,0.130771411,0.8614155534928605,0.009557453,0.010215296,0.04235014,0.14287137,0.14287137,0.010711511,0.021253823,0.814294514
224,0.0001852854303889904,0.04735062,0.131396852,0.8771320160207469,0.010662631,0.010963833,0.0172811,0.109364961,0.109364961,0.016027608,0.011479651,0.816564618
225,0.9789804982038616,0.003382187,0.002713706,0.680971747121206,5.82e-05,0.000104286,0.006261429,0.002105173,0.002105173,0.000158409,4.92e-06,0.58511304
226,0.9790954437949363,0.02367531,0.025186792,0.7744524179635914,0.001893505,0.002165298,0.008053415,0.018114899,0.018114899,0.000315665,0.000335903,0.679183673
227,0.989493528936619,0.002254791,0.001687556,0.6803078916164976,1.89e-05,4.47e-05,0.003266247,0.001404859,0.001404859,0.0,2.19e-06,0.570898395
228,0.00059622348733015,0.01578354,0.012246785,0.7341633237327959,0.000133703,0.000210975,0.008585953,0.01391762,0.01391762,4.33e-05,0.000207331,0.64995312
229,0.0007987658940788993,0.041713641,0.0405351,0.8079389593679097,0.007497956,0.009112308,0.025897383,0.053457724,0.053457724,0.024281154,0.00296504,0.756270734
230,0.9587136427801857,0.072153326,0.042508836,0.7547021990413905,0.001342886,0.002010102,0.049304868,0.046714562,0.046714562,0.00375661,0.002696171,0.689452556
231,0.9687925243182082,0.024802706,0.033377475,0.7766068229052042,8.27e-05,8.95e-05,0.018349343,0.03332868,0.03332868,0.000216816,0.001363999,0.694910693
232,0.9590123600317932,0.021420519,0.010793694,0.6861233898353805,0.000767264,0.00087462,0.016455978,0.011781304,0.011781304,0.000236869,0.000181043,0.604939437
233,0.9791896002799869,0.034949267,0.043499092,0.7856321004108624,0.000468198,0.000501855,0.020288457,0.039089463,0.039089463,0.000551451,0.001877707,0.698225143
234,0.9589073044037786,0.013528749,0.005554811,0.7373521926725073,0.001109299,0.001344806,0.015798747,0.005447426,0.005447426,0.002297729,3.39e-05,0.658252288
235,0.9791894993619965,0.00789177,0.006047047,0.6899611607408478,9.07e-06,1.29e-05,0.006808755,0.006166026,0.006166026,2.32e-05,4.83e-05,0.611912261
236,0.021089841635452734,0.060879369,0.084697446,0.7724919748965843,0.000664044,0.000736878,0.003141217,0.001119816,0.001119816,0.0,1.62e-06,0.536338687
237,0.9893970513377891,0.014656144,0.007254159,0.6784339748134129,2.94e-06,4.39e-06,0.011553475,0.008829114,0.008829114,4.8e-06,0.000101447,0.597603103
238,0.9793882068851097,0.066516347,0.074340945,0.7876763279095447,0.002895973,0.003292151,0.02382623,0.047113346,0.047113346,0.001161024,0.002681614,0.708015817
239,0.02039047996192566,0.050732807,0.095663306,0.8641707327917193,0.004597208,0.004552832,0.017590139,0.06922492,0.06922492,0.005850177,0.005055277,0.798910049
240,0.01017112058125533,0.059751973,0.093592097,0.8383278025061893,0.002214555,0.002260481,0.034621779,0.063858737,0.063858737,0.004793306,0.00434222,0.778498869
241,0.03037833347260016,0.032694476,0.053875543,0.8254661735259134,0.001848992,0.002029259,0.01328267,0.029446332,0.029446332,0.003555888,0.000956571,0.742347582
242,0.9594156283214633,0.29199549,0.244448295,0.907205691493979,0.115730779,0.122017992,0.252870783,0.237417086,0.237417086,0.14166947,0.055287391,0.856735737
243,0.0007908942908270794,0.052987599,0.135986008,0.7851411003741843,0.00249653,0.003107246,0.012616325,0.069112717,0.069112717,0.00055379,0.004742931,0.693877553
