,Id,BCT,hubscore,authoritiesscore,closeness centrality,degree centrality,degree_prestige,eigenvector centrality,Harmonic centrality,Page-Rank,Percolation-Centrality,betweenness centrality
3050,0.02100574193672065,0.008831886850297678,0.0003061322108485602,0.9480846867965247,0.7755858749840088,0.008831832815261124,0.0002303801114959665,0.03554383117023118,0.764990043382775,0.096782105044179,6.869689725183963e-05,6.869689725183963e-05
3051,0.021005943726800445,0.0074495046468359746,0.0002037915008265125,0.9412290003906904,0.7520456284397442,0.007449450158877959,0.0002303801114959665,0.023057105736997787,0.7183637311590195,0.03284683520742777,1.3167940522052442e-05,1.3167940522052442e-05
3052,0.021006246411920143,0.0074495046468359746,0.0002046814200440955,0.9420382876597645,0.6921805426029398,0.007449450158877959,0.00015348342803975544,0.010016653664998772,0.7294436330475326,0.040511096755827584,1.751584541140938e-05,1.751584541140938e-05
3053,0.021006347306960042,0.010444666356471358,0.0008231752762642971,0.9523078640397388,0.7793325781120097,0.010444611165686719,0.0008447235373702258,0.34204017799973535,0.7644199195181055,0.03919722334753047,0.00020373040052986796,0.00020373040052986796
3054,0.02100644820199994,0.009523078067229254,0.0015306610542428012,0.9415173671187512,0.7233293309763439,0.009523024143452704,0.0012286889746175094,0.0245710684401202,0.7230054627227792,0.09512005518268316,0.00019379233221133782,0.00019379233221133782
3055,0.02100654909703984,0.007679901719146501,0.00020557133926167852,0.9464289036483042,0.7072851401725218,0.007679847975952533,0.00015348342803975544,0.038358469743176304,0.6883421018504161,0.05386880974018154,6.360363723859293e-06,6.360363723859293e-06
3056,0.02100735625735903,0.007372705622732466,0.00041292251695852306,0.9534892374095366,0.6019297199116017,0.007372651594197148,0.00038396543724728363,0.012927618156482296,0.642384210277148,0.030876025094982096,4.3975952309495894e-05,4.3975952309495894e-05
3057,0.02100745715239893,0.0072959065986289585,1.85993116474852e-23,0.9557310561663969,0.6497751516161809,0.007295853029516337,0.0,0.026049873249222102,0.7103088651586321,0.038211818291307625,0.0,0.0
3058,0.02100765894247873,0.006374318309386856,0.00010234071002204775,0.942391769455452,0.6097247446840548,0.0063742638842501816,7.684785746942111e-05,0.001179057968831779,0.621639956909254,0.1171460479782773,2.000036249104192e-06,2.000036249104192e-06
3059,0.021007759837518628,0.009676676115436272,0.002465076232704976,0.9469219177317632,0.7351295232549401,0.009676621272814327,0.002226999960608043,0.27785172629383503,0.7087511351591346,0.02759134157423932,0.00018633878097244023,0.00018633878097244023
3060,0.021007961627598427,0.008447891960181586,0.0005099237116750727,0.9473870253576677,0.7457129605622957,0.008447837868824927,0.00046075810012294213,0.014197194139140496,0.7199396765265216,0.024963594757645105,0.0004372750060153264,0.0004372750060153264
3061,0.021008062522638326,0.0075263036709394835,0.00030791204928372627,0.9472195866123421,0.7557386700723386,0.00752624872355877,0.0002303801114959665,0.07746693379056054,0.7278555518387856,0.02211686903966803,2.2360653716692824e-05,2.2360653716692824e-05
3062,0.021008163417678225,0.00867828880209066,0.0006167140177850356,0.9440847612137447,0.7696263013157959,0.008678235685899502,0.0005375528858675916,0.08685159208795916,0.7538934920262811,0.10082007598567878,3.7640433756432924e-05,3.7640433756432924e-05
3063,0.02100846610279792,0.009907073187746796,0.0010234071002204776,0.947917248051199,0.7862894448978341,0.009907019089888901,0.0010751036488661923,0.05146484090645274,0.7630711742665057,0.051788510177044444,0.00012236246617190242,0.00012236246617190242
3064,0.02100856699783782,0.00821749488787106,0.0003061322108485602,0.9470428457144984,0.6595024129330348,0.008217440051750352,0.00030717277437162507,0.003777449307803286,0.6916578190142985,0.06733601217522693,0.0001232320471497738,0.0001232320471497738
3065,0.021008667892877718,0.00814069586376755,0.0010323062923963079,0.9558705884541683,0.7575884631151457,0.008140641487069541,0.0008447235373702258,0.07191344478353333,0.7589252443469765,0.025401552560410802,7.27963504332333e-05,7.27963504332333e-05
3066,0.021008768787917617,0.009599877091332764,0.0010234071002204776,0.9488567654555263,0.7870983377813975,0.009599822708133516,0.0009215183231148752,0.16012197917022572,0.7678173044266264,0.08737258165175786,0.001232320471497738,0.001232320471497738
3067,0.021008869682957516,0.007679901719146501,0.0005117035501102388,0.9468475005116184,0.711503466627713,0.007679847975952533,0.00038396543724728363,0.012985427506083051,0.7065082742250101,0.051679020726353025,0.00015528231747703354,0.00015528231747703354
3068,0.021009071473037315,0.007833499767353517,0.00030791204928372627,0.9409220293575933,0.6916278193873481,0.007833445105314156,0.0002303801114959665,0.018488780998730997,0.7113362524891405,0.08759156055314071,0.0001254681125214431,0.0001254681125214431
3069,0.021009273263117113,0.019122955158562018,0.000409362840088191,0.9645029859909583,0.7784526850841514,0.019122902050421896,0.00030717277437162507,0.027793749951293724,0.8397043274910366,0.3227573823262129,0.0002683278446003139,0.0002683278446003139
3070,0.02100937415815701,0.00814069586376755,0.001637451360352764,0.9452382281259883,0.6893301653450394,0.008140641487069541,0.0012286889746175094,0.0069497287430961945,0.6593510362399347,0.03142347234843922,0.000380131113183778,0.000380131113183778
3071,0.02100947505319691,0.008908685874401186,0.000408472920870608,0.9428661792338747,0.7655992359339777,0.008908631379941934,0.00038396543724728363,0.0130104215668576,0.7426925476443722,0.08189810911718656,0.00013292166376034067,0.00013292166376034067
3072,0.021009777738316606,0.009676676115436272,1.85993116474852e-23,0.9574426522297259,0.7537692803586608,0.009676621272814327,0.0,0.05066703487695388,0.7810105142076222,0.15962248037401597,0.0,0.0
3073,0.021010080423436304,0.007372705622732466,0.0002046814200440955,0.9498707000799985,0.6809386895411428,0.007372651594197148,0.00015348342803975544,0.014565306164465218,0.7135483188595766,0.026824915419399346,1.8136974681317515e-05,1.8136974681317515e-05
3074,0.021010282213516102,0.0072959065986289585,0.0002037915008265125,0.9473591189001134,0.70866884285707,0.007295853029516337,0.00015348342803975544,0.004183046152254504,0.7143493514652121,0.10936791740115841,4.2485242061716365e-05,4.2485242061716365e-05
3075,0.021010383108556,0.017279778810479263,0.0006104845832619545,0.9584193782441257,0.8918517212032216,0.017279725882921725,0.0005375528858675916,0.02957657285672283,0.9082111968145006,0.3774243701619349,0.0009279671292427523,0.0009279671292427523
3076,0.021010685793675696,0.0077567007432500085,0.0009433143706380054,0.9465312273260033,0.714679179439421,0.007756646540633345,0.0008447235373702258,0.11373888867781748,0.6888500121775305,0.023978189701422268,0.00031304915203369957,0.00031304915203369957
