Id,scores
100,0.015698359
101,0.125410466
102,0.062712792
103,0.015698359
104,0.188108526
105,0.156759503
106,0
107,0.156759503
108,0.485922971
109,0.062712792
110,0.015698359
111,0.015698359
112,0.094061442
113,0.517272008
114,0.031363755
115,0.517272008
116,0.219457177
117,0.04703808
118,0.10973614
119,0.235131888
120,0.203782851
121,0.031363755
122,0.156759503
200,0.235131888
201,0.031363755
202,0.642667742
203,0.078387117
204,0.141085177
205,0.015698359
206,0
207,0
208,0
209,0.10973614
210,0.094061442
211,0.203782851
212,0.10973614
213,0.10973614
214,0.062712792
215,0.862110187
216,0.04703808
217,0.015698359
218,0.156759503
219,0.125410466
220,0.015698359
221,0.078387117
222,0.10973614
223,0.172433815
224,0.172433815
225,0
300,0.125410466
301,0.10973614
302,0.329178586
303,0.015698359
304,0.062712792
305,0.04703808
306,0.062712792
307,0
308,0.015698359
309,0.078387117
310,0.094061442
311,0.517272008
312,0.235131888
313,0.188108526
314,0.015698359
315,0.031363755
316,0.266480526
317,0.125410466
318,0.04703808
319,0.094061442
320,0.015698359
321,0.532946333
322,0.062712792
323,0
324,0.04703808
325,0.031363755
326,0.125410466
327,0
328,0.188108526
329,0.04703808
330,0.031363755
400,0.548621031
401,0.094061442
402,0.156759503
403,0.376201948
404,0.532946333
405,0.015698359
406,0.015698359
407,0
408,0.094061442
409,0.031363755
410,0.407550585
411,0.203782851
412,0.015698359
413,0.015698359
414,0.141085177
415,0.10973614
416,0
417,0.031363755
418,0.062712792
419,0.2508062
420,0.360527237
500,0.031363755
501,0.078387117
502,0.674016393
503,0
504,1.081552632
505,0.094061442
506,0.141085177
507,0.015698359
508,0.10973614
509,0.078387117
510,0.031363755
511,0.04703808
512,1.018854572
513,0.172433815
514,0
515,0.172433815
516,0.564295356
517,0.329178586
518,0.031363755
519,0.156759503
520,0.39187626
521,0.297829562
522,0.10973614
523,0.485922971
524,0.015698359
525,0.062712792
526,0.04703808
527,0.031363755
528,0.015698359
600,0.062712792
601,0.125410466
602,0
603,0.04703808
604,0.031363755
605,0.282155237
606,0.39187626
607,0.04703808
608,0.031363755
609,0.062712792
610,0
611,0.266480526
612,0
613,0.564295356
614,0.094061442
615,0.031363755
616,0.078387117
617,0.266480526
618,0.235131888
619,0.062712792
620,0.2508062
621,0.846435476
622,0.015698359
623,0.094061442
624,0.015698359
625,0.329178586
700,0.031363755
701,0.470248645
702,0.344852911
703,0.078387117
704,0.062712792
705,0.172433815
706,0.266480526
707,0.219457177
708,0.423225297
709,0.078387117
710,0.595644393
711,0.266480526
712,0
713,0.015698359
714,0.031363755
715,0.04703808
716,0.360527237
717,0.078387117
718,0.125410466
719,0.015698359
720,0.2508062
721,0
722,0
723,0.470248645
724,0.015698359
725,0.188108526
800,0.031363755
801,0.501597682
802,0.04703808
803,0.2508062
804,0.04703808
805,0
806,0.078387117
807,0.203782851
808,0.125410466
809,0.015698359
810,0
811,0.282155237
812,0.015698359
813,0.015698359
814,0.235131888
815,0
816,0.094061442
817,0.031363755
818,0
819,0.094061442
820,0.062712792
821,0
822,0
823,0.078387117
824,0.642667742
825,0.078387117
900,0.548621031
901,0.235131888
902,0.015698359
903,0.156759503
904,0
905,0.094061442
906,0.094061442
907,0.078387117
908,0.188108526
909,0.094061442
910,0.10973614
911,0.04703808
912,0.015698359
913,0.485922971
914,0.04703808
915,0.078387117
916,0.015698359
917,0.031363755
918,0.940482187
919,0.689691091
920,0.39187626
921,0.078387117
922,0.188108526
923,0.235131888
924,0.015698359
925,0.219457177
1000,0
1001,0
1002,0
1003,0
1004,0.015698359
1005,0.501597682
1006,0.172433815
1007,0
1008,0
1009,0.031363755
1010,0.015698359
1011,0.376201948
1012,0.078387117
1013,0.015698359
1014,0.015698359
1015,0.015698359
1016,0.141085177
1017,0.658342067
1018,0.078387117
1019,0
1020,0.015698359
1021,0.015698359
1022,0.078387117
1023,0.078387117
1024,0.031363755
1025,0.015698359
1026,0.125410466
1027,0.376201948
1028,0.015698359
1029,0.078387117
1100,0.266480526
1101,0.125410466
1102,1.081552632
1103,0.015698359
1104,0.156759503
1105,0.062712792
1106,0
1107,0.313503888
1108,0.564295356
1109,0.454574333
1110,0.10973614
1111,0.031363755
1112,0.031363755
1113,0.2508062
1114,0.04703808
1115,0.04703808
1116,0.015698359
1117,0.2508062
1118,0.062712792
1119,0.015698359
1120,0.04703808
1121,0.04703808
1122,0.015698359
1123,0.062712792
1124,0.031363755
1125,0.094061442
1126,0.595644393
1127,0.078387117
1128,0.094061442
1129,0.078387117
1200,0.423225297
1201,0
1202,0.094061442
1203,0.062712792
1204,0.344852911
1205,0.078387117
1206,0.062712792
1207,0.10973614
1208,0.125410466
1209,0
1210,0.015698359
1211,0.156759503
1212,0.799412127
1213,0.10973614
1214,0.031363755
1215,0.015698359
1216,0.062712792
1217,1.175599343
1218,0.156759503
1219,0.094061442
1220,0.015698359
1221,0.141085177
1222,0.094061442
1223,0.078387117
1224,0.125410466
1225,0.125410466
1226,0
1227,0.031363755
10100,0.031363755
10101,0.015698359
10102,0.783737802
10103,0.407550585
10104,0.125410466
10105,0.015698359
10106,0.360527237
10107,0.062712792
10108,0.04703808
10109,0.877784513
10110,0.219457177
10111,0.141085177
10112,0.015698359
10113,0.031363755
10114,0
10115,0.141085177
10116,0.04703808
10117,0.015698359
10118,0.04703808
10119,0.329178586
10120,0.203782851
10121,0.376201948
10122,0.062712792
10123,0.078387117
10200,0.188108526
10201,0.438899622
10202,0.094061442
10203,0.04703808
10204,0.04703808
10205,0
10206,0.078387117
10207,0.219457177
10208,0.2508062
10209,0.438899622
10210,0.062712792
10211,0.015698359
10212,0.266480526
10213,0.329178586
10214,0.094061442
10215,0.266480526
10216,0
10217,0
10218,0.015698359
10219,0.329178586
10220,0.062712792
10221,0.329178586
10300,0.078387117
10301,0.04703808
10302,0.094061442
10303,0
10304,0.04703808
10305,0.203782851
10306,0.188108526
10307,0.235131888
10308,0.156759503
10309,0.517272008
10310,0
10311,0.015698359
10312,0.062712792
10313,0.438899622
10314,0.172433815
10315,0.094061442
10316,0.094061442
10317,0.266480526
10318,0
10319,0.329178586
10320,0.203782851
10321,0.313503888
10322,0.125410466
10323,0.768063476
10324,0.031363755
10325,0.015698359
10326,0.078387117
10400,0.2508062
10401,0
10402,0.125410466
10403,0.078387117
10404,0.313503888
10405,0.595644393
10406,0.062712792
10407,0.031363755
10408,0.297829562
10409,0.172433815
10410,0.532946333
10411,0.094061442
10412,0.04703808
10413,0.156759503
10414,0.015698359
10415,0.282155237
10416,0.752388778
10417,0.062712792
10418,0.172433815
10419,0.407550585
10420,0.172433815
10421,0.031363755
10422,0.078387117
10423,0.062712792
10424,0.062712792
10425,0.031363755
10426,0.015698359
10500,0.141085177
10502,0.015698359
10503,0.10973614
10504,0.078387117
10505,0.015698359
10506,0.235131888
10507,0.10973614
10508,0.125410466
10509,0.141085177
10510,0.172433815
10511,0.078387117
10512,0.062712792
10513,0
10514,0.078387117
10516,0.015698359
10518,0.094061442
10519,0.015698359
10520,0.423225297
10521,0.125410466
10522,0.235131888
10523,0.141085177
10524,0.2508062
10525,0.141085177
