Rank,Id,degree centrality,betweenness centrality,eigenvector centrality,closeness centrality,hubscore,authoritiesscore,degree_prestige,rank-Prestige,Page-Rank,Percolation-Centrality
109,0.9999887,0.968998996,0.010912906,0.021208335,0.030595002,0.989185265,0.988998205,0.979491473,0.000721399,0.020788006,0.010912906
110,0.999988599,0.999572508,0.99908468,0.030473726,0.030382114,0.989477961,0.999794477,0.999285361,0.020487036,0.021214389,0.99908468
111,0.999988498,0.999875092,0.010803233,0.02120097,0.030287272,0.989291608,0.020598626,0.979388358,0.030277889,0.030485632,0.010803233
112,0.999988296,0.999285361,0.020808992,0.020889406,0.021008462,0.999081553,0.000317517,0.999580378,0.020502372,0.030483311,0.020808992
113,0.999988195,0.978790152,0.99999778,0.011003005,0.020613357,0.988986703,0.98898065,0.969221167,0.02080193,0.020393204,0.99999778
114,0.999988094,0.968706603,0.020899495,0.021320429,0.021094223,0.969605274,0.021308221,0.988878746,0.010800005,0.02070618,0.020899495
115,0.999987993,0.969710003,0.000913403,0.03058572,0.030494006,0.999065006,0.999372635,0.989894557,0.010303702,0.020795472,0.000913403
116,0.999987893,0.989185971,0.999794477,0.01060669,0.030282228,0.989784783,0.000626558,0.978696622,0.000215411,0.030583702,0.999794477
117,0.999987792,0.989894557,0.02039956,0.021108953,0.020893139,0.999084983,0.999583505,0.96940187,0.00073048,0.030594094,0.02039956
118,0.999987691,0.969621418,0.988998205,0.030276477,0.030494309,0.989884467,0.989084975,0.000408322,0.020788006,0.021294701,0.988998205
119,0.99998759,0.020795977,0.000109976,0.020689936,0.020589243,0.000607085,0.01009939,0.000607085,0.020810203,0.030388975,0.000109976
120,0.999987489,0.969221167,0.020385536,0.020689331,0.030488659,0.989484923,0.010595289,0.968804874,0.001112166,0.020499951,0.020385536
121,0.999987388,0.000108361,0.020507115,0.021001197,0.03057563,0.000116937,0.998873507,0.000416495,0.001124374,0.030585014,0.020507115
122,0.999987287,0.968607221,0.001116,0.021010682,0.021201777,0.989486234,0.98978105,0.988976008,0.979497527,0.020196862,0.001116
123,0.999987186,0.968699439,0.020687212,0.020901614,0.021004123,0.979296342,0.999986076,0.989280711,0.021206115,0.02070164,0.020687212
124,0.999987085,0.969213903,0.010711217,0.021306808,0.0211029,0.999674815,0.000912797,0.978783896,0.979506103,0.02089778,0.010711217
125,0.999986985,0.989691859,0.001124172,0.020697604,0.020991512,0.989399263,0.99977228,0.998973696,0.999089422,0.030578758,0.001124172
126,0.999986884,0.969717772,0.000207642,0.030574621,0.030590462,0.978694201,0.999986177,0.000407515,0.999369507,0.020584198,0.000207642
127,0.999986783,0.999783681,0.010820385,0.030474433,0.030472616,0.000109976,0.000305611,0.989191924,0.021000693,0.02089435,0.010820385
128,0.999986682,0.989286059,0.01050862,0.021206115,0.02098909,0.010604874,0.000116836,0.989283032,0.988791976,0.020193533,0.01050862
129,0.999986581,0.978887414,0.02049642,0.020683883,0.021208638,0.98948119,0.998981364,0.969115227,0.000321452,0.010614156,0.02049642
130,0.99998648,0.968802655,0.988981961,0.020888094,0.021301461,0.978684111,0.030372327,0.969525265,0.001013692,0.030384434,0.988981961
131,0.999986379,0.000817451,0.999677943,0.020791033,0.021107743,0.969221167,0.999791046,0.999577452,0.998873507,0.030583097,0.999677943
132,0.999986278,0.01081302,0.988979035,0.020997767,0.030289189,0.979294929,0.010912099,0.968912832,0.999369204,0.021003114,0.988979035
133,0.999986177,0.011119337,0.020614366,0.020603974,0.020605386,0.989184357,0.000827036,0.989177496,0.021320328,0.030592581,0.020614366
134,0.999986076,0.978698337,0.020905953,0.021305497,0.020886984,0.989492389,0.999883668,0.010604874,0.01011069,0.001034376,0.020905953
135,0.999985976,0.969115227,0.020597315,0.02058329,0.021190779,0.968903751,0.010307637,0.968802957,0.030277586,0.010093033,0.020597315
136,0.999985875,0.969714846,0.00043173,0.01090887,0.020592875,0.989903032,0.98929978,0.969515074,0.010594885,0.020381198,0.00043173
137,0.999985774,0.999580378,0.020887993,0.030287272,0.030590966,0.989889915,0.999883164,0.968899009,0.010698,0.989582186,0.020887993
138,0.999985673,0.978696622,0.979794259,0.020393204,0.020807983,0.999972254,0.00042497,0.969107862,0.011122364,0.0001127,0.979794259
139,0.999985572,0.969620207,0.000123596,0.020492888,0.021196934,0.979402685,0.999074894,0.969523751,0.001126392,0.030275165,0.000123596
140,0.999985471,0.999274666,0.999970539,0.030589957,0.01081302,0.9891893,0.010310058,0.999769051,0.02039159,0.020896267,0.999970539
141,0.99998537,0.000416495,0.010804848,0.020797087,0.021108953,0.988878746,0.999991525,0.98958047,0.021002206,0.010707787,0.010804848
142,0.999985269,0.989884064,0.989698114,0.030382114,0.02060357,0.988876728,0.989279803,2.07E-05,0.011121355,0.030487549,0.989698114
143,0.999985168,0.979491473,0.988789453,0.021102799,0.021118034,0.969019276,0.010091419,0.979690741,0.020393204,0.030588141,0.988789453
144,0.999985068,0.968706703,0.01072171,0.030596314,0.021323456,0.978886506,0.999274666,1.13E-05,0.020998372,0.030280109,0.01072171
145,0.999984967,0.999970539,0.000125513,0.020698916,0.030280411,0.968899009,0.000918548,0.968809011,0.010302491,0.030475643,0.000125513
146,0.999984866,0.000408322,0.989593082,0.02120773,0.020992924,0.999082158,0.020607808,0.96891152,0.989179816,0.021320328,0.989593082
147,0.999984765,3.23E-06,0.00021188,0.030484219,0.030495217,0.979392091,0.989288178,0.969014231,0.011116714,0.021314275,0.00021188
148,0.999984664,0.979197162,0.020607303,0.010708291,0.030370107,0.988976816,0.011008353,0.999274666,0.000220859,0.011122162,0.020607303
149,0.999984563,0.001135069,2.02E-05,0.030494107,0.030282732,0.988979741,0.020589243,0.000706265,0.020613861,0.010598719,2.02E-05
150,0.999984462,0.969515074,0.000119561,0.030581987,0.020596003,0.98898973,0.020691551,0.978698337,0.020692862,0.030583904,0.000119561
151,0.999984361,0.989191924,0.020281917,0.020990402,0.021318008,0.979096973,0.989193034,0.978887414,0.020989494,0.030483513,0.020281917
152,0.99998426,0.989283032,0.979803239,0.021190779,0.030384031,0.979197061,0.020293015,0.989884064,0.010192516,0.030277586,0.979803239
153,0.999984159,0.989699426,0.010914218,0.020992823,0.020886177,0.98898065,0.98937979,0.969423361,0.010525268,0.030494107,0.010914218
154,0.999984059,0.96940187,0.989187686,0.021008159,0.030493704,0.969517496,0.999778636,0.978690972,0.010719188,0.030592076,0.989187686
155,0.999983958,0.010315305,0.01060891,0.02069377,0.030476249,0.989290296,0.989187686,0.978993253,0.011127005,0.030497033,0.01060891
156,0.999983857,0.98958047,0.010714647,0.020701136,0.021100478,0.988884698,0.00102358,0.999482711,3.23E-06,0.030596616,0.010714647
157,0.999983756,0.999769051,0.001020452,0.011107734,0.021209848,0.999083066,0.000509217,0.999778031,0.000321048,0.030483412,0.001020452
158,0.999983554,0.968804874,0.010299061,0.020299775,0.021006343,0.989479374,0.989286967,0.96879993,0.030589251,0.020502372,0.010299061
159,0.999983453,0.998973696,0.000124,0.030278898,0.030276073,0.978984778,0.999977803,1.98E-05,0.021011791,0.030279907,0.000124
160,0.999983352,0.021009269,0.988999012,0.011122364,0.020796784,0.999385348,0.999387668,0.968903953,0.000821084,0.020808791,0.988999012
161,0.999983251,2.07E-05,0.020484918,0.021318714,0.020609321,0.978993253,0.989393007,0.999384439,0.000830568,0.030591067,0.020484918
162,0.999983151,0.000407515,0.000210366,0.020200091,0.030471708,0.989187888,0.998981667,0.9798102,0.001011775,0.021089178,0.000210366
163,0.99998305,0.9798102,1.98E-05,0.021011791,0.030593287,0.999783681,0.000719281,0.96880669,0.999275776,0.030582592,1.98E-05
164,0.999982949,0.020401982,0.010394911,0.020607808,0.021109256,0.968898303,0.000412257,0.969716663,0.010524359,0.999673907,0.010394911
165,0.999982848,0.988976008,0.010620109,0.030471305,0.020505198,0.968698127,0.999385852,0.999383431,0.000831476,0.030583803,0.010620109
166,0.999982747,0.999885787,0.010694973,0.011011884,0.030280714,0.968804874,0.00030662,0.97961285,0.030388571,0.010395214,0.010694973
167,0.999982646,0.01071152,0.010700522,0.030590966,0.020990402,0.999977702,0.000209357,0.968595719,0.020812826,0.030286162,0.010700522
168,0.999982545,0.999672495,0.999276986,0.020793455,0.020591463,0.968700044,0.010301886,0.969015745,0.000119359,0.021320429,0.999276986
169,0.999982444,0.010198872,0.010612441,0.021110164,0.030485632,0.999265383,0.00072039,0.969614859,0.999074894,0.010710006,0.010612441
170,0.999982343,0.969525265,0.020488752,0.021208133,0.02060135,0.979706783,0.989902931,0.999885787,0.021094021,0.03028253,0.020488752
171,0.999982242,0.999384641,0.999470806,0.011116714,0.030474433,0.979193328,0.98919041,0.999970539,0.030475946,0.999782975,0.999470806
172,0.999982142,0.000116937,0.010495302,0.030486338,0.020700228,0.000124,0.989786094,0.96869954,0.988784409,0.021293087,0.010495302
173,0.99998194,0.978993253,0.010611735,0.020805865,0.020610633,0.989390283,0.020281917,0.968800031,0.979791938,0.011121355,0.010611735
174,0.999981839,0.96891152,0.988986804,0.030577346,0.021190376,0.989297359,0.999779746,0.999971648,0.030473726,0.021205106,0.988986804
175,0.999981738,0.999379395,0.98958047,0.020293923,0.030471305,0.988975706,0.000422851,0.978999509,0.010201798,0.030385645,0.98958047
176,0.999981637,0.999385247,0.010502768,0.011203787,0.020593481,0.998974099,0.000408928,0.979193328,0.010509124,0.020613357,0.010502768
177,0.999981536,0.010197964,0.998873507,0.030371217,0.020795069,0.000206936,0.988980549,0.968907787,0.000116937,0.011002198,0.998873507
178,0.999981435,0.010604874,0.979594285,0.030596818,0.021208133,0.969010801,0.988984887,0.989783572,0.000209357,0.020991814,0.979594285
179,0.999981334,0.988992454,0.02038483,0.021310441,0.030587536,0.989698114,0.999387265,0.999384641,0.000408423,0.030594397,0.02038483
180,0.999981234,0.010498934,0.000116836,0.030273349,0.021001197,0.999285361,0.999891941,0.000119561,0.979806467,0.020802031,0.000116836
181,0.999981133,0.000706265,0.000125413,0.021010984,0.020604781,0.000209256,0.000624944,0.968592389,0.999367388,0.030490071,0.000125413
182,0.999981032,0.968802957,0.010601746,0.021201777,0.021009471,0.999182549,0.020295538,0.968807296,0.020809396,0.030587031,0.010601746
183,0.999980931,0.978690972,0.00073048,0.011099158,0.020701035,0.988878846,0.989881642,0.000122083,0.020992823,0.030473726,0.00073048
184,0.99998083,0.978783896,0.989486234,0.030276073,0.030384434,0.979591056,0.999869845,0.000124706,0.988777144,0.011005931,0.989486234
185,0.999980729,0.000914008,0.020285448,0.030280311,0.020683883,0.999790744,0.988981457,0.979612951,0.001116,0.020687212,0.020285448
186,0.999980628,0.969014231,0.020298565,0.030282732,0.021189064,0.00072029,0.99977793,0.989584002,0.001127805,0.020193028,0.020298565
187,0.999980527,0.000317416,0.999184163,0.030590462,0.020703154,0.998868563,0.020200091,0.968802049,0.001133354,0.03057331,0.999184163
188,0.999980426,0.968809011,0.020185966,0.020496319,0.020800013,0.998870783,0.98979689,0.968806589,0.020193028,0.03049552,0.020185966
189,0.999980325,0.968912832,0.999673907,0.020998372,0.021295105,0.989288178,0.030574319,0.988789453,0.020592573,0.030285759,0.999673907
190,0.999980225,0.999673907,0.989803953,0.020685396,0.021003821,0.978690972,0.999886897,0.988892467,0.010308343,0.021198447,0.989803953
191,0.999980124,0.021205813,0.010197964,0.030578354,0.0207084,0.98889166,0.010205935,0.999085084,0.000406405,0.030369804,0.010197964
192,0.999980023,0.989177496,0.000914008,0.021092608,0.030471809,0.968998996,0.989484923,0.000918851,0.000719281,0.001028726,0.000914008
193,0.999979922,0.968899009,0.000507199,0.030379793,0.030577346,0.969618492,0.01061012,0.979794259,0.999571802,0.030293528,0.000507199
194,0.999979821,0.969716663,0.999977702,0.020891827,0.021011388,0.978999509,0.010712932,0.999672495,0.989489867,0.030595204,0.999977702
195,0.99997972,1.98E-05,0.010618192,0.021118034,0.021008159,0.999086396,0.98898408,0.989090928,0.000112498,0.000622421,0.010618192
196,0.999979619,0.000720491,0.01031702,0.021213783,0.030372024,0.999673605,0.011202979,0.968912731,0.030472616,0.030576236,0.01031702
197,0.999979518,0.969614859,0.010814534,0.030587536,0.030596818,0.988979035,0.988986804,0.969218342,0.0205957,0.01100008,0.010814534
198,0.999979417,0.01071263,0.010493486,0.021008058,0.021005939,0.988994472,0.020382812,0.97908981,0.020613054,0.0104049,0.010493486
199,0.999979317,0.000918851,0.999473025,0.030593691,0.030574117,0.969621418,0.999586936,0.979197162,0.988996187,0.020805663,0.999473025
200,0.999979115,0.989783572,0.98898973,0.03047191,0.02050207,0.99897864,0.0205957,0.969714645,0.000810893,0.011025101,0.98898973
