,Id,Degree-Centrality,Betweenness-Centrality,EigenVector-centrality,Closeness-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Page-Rank,Katz-Centrality,Harmonic-Centrality,Percolation-Centrality
6046,0.020900113264817503,0.01845937412659675,3.23e-05,0.033894252,0.6870665634392293,0.033804633,0.033804633,0.01845937412659675,0.010583457101782103,0.609621678,0.6171755990060835,3.23e-05
6047,0.00022075843639261344,0.002408019280295181,4.67e-07,6.829999999882e-55,0.0005987348585007261,1.097e-321,2.1907e-320,0.002408019280295181,0.02953469560738364,0.577075557,0.0005797236747862728,4.67e-07
6048,1.563873749582042e-05,0.0,0.0,4.37e-07,0.45752026721691674,4.35e-07,4.35e-07,0.0,0.003795967067514919,0.577062024,0.39583451683994864,0.0
6049,0.9387308569241166,0.004013161970701525,0.006855948,1.51e-06,0.4872485861653381,1.51e-06,1.51e-06,0.004013161970701525,0.020638997856234083,0.576791423,0.4222970565061456,0.006855948
6050,0.9792934034998082,0.002408019280295181,0.0018688,2.73e-08,0.42049175126497085,2.73e-08,2.73e-08,0.002408019280295181,0.025352532741209063,0.577044325,0.361510724557941,0.0018688
6051,0.00011158995916372507,0.0016054479350920098,6.82e-07,0.00070095,0.6135577686464235,0.000702859,0.000702859,0.0016054479350920098,0.0025390240980269507,0.584323969,0.5432958854863054,6.82e-07
6052,0.9788001274506658,0.0016054479350920098,6.89e-07,0.00539787,0.7031075454627325,0.005410018,0.005410018,0.0016054479350920098,0.0016277403200876826,0.621113998,0.632337986088326,6.89e-07
6053,5.650124514618991e-06,0.0,0.0,0.000585209,0.6213096749516407,0.000585346,0.000585346,0.0,0.00039907903013700795,0.570287143,0.5513423149549317,0.0
6054,0.9388295323129612,0.011236268048649137,0.010330852,0.000562277,0.609632745465442,0.000563174,0.000563174,0.011236268048649137,0.033514489589955274,0.566604681,0.5380383152534262,0.010330852
6055,0.9787958898572798,0.006420857991870573,0.002147842,1.17e-05,0.5181897841948809,1.17e-05,1.17e-05,0.006420857991870573,0.02356138938487018,0.576626326,0.4515111816068139,0.002147842
6056,0.9992773894326125,0.008026000682276917,0.00306744,1.15e-05,0.5182029112088407,1.15e-05,1.15e-05,0.008026000682276917,0.030943099837017065,0.577122846,0.4516614809670248,0.00306744
6057,0.020696506992129982,0.002408019280295181,0.002684481,0.00032289,0.6233796395276759,0.000321497,0.000321497,0.002408019280295181,0.007755336170797118,0.575528589,0.5507606770335693,0.002684481
6058,1.513426209272944e-06,0.002408019280295181,6.47e-06,0.002975569,0.6803264243603517,0.002971076,0.002971076,0.002408019280295181,0.0028218358909802726,0.561976116,0.6086017626016426,6.47e-06
6059,0.9795075028608801,0.013643982084258653,0.002231531,0.003152522,0.7202278540776004,0.003148453,0.003148453,0.013643982084258653,0.020638997856234083,0.622923931,0.6438249367339256,0.002231531
6060,0.9394409565015075,0.0016054479350920098,1.56e-07,9.27999882e-59,0.00033777382159748333,0.0,0.0,0.0016054479350920098,0.02550965073745555,0.576961038,0.0003220684859637455,1.56e-07
6061,0.00010664610021343345,0.0008022480860770399,0.002454405,7.67e-06,0.5261018930785379,7.65e-06,7.65e-06,0.0008022480860770399,0.006498393201309148,0.580027999,0.45787785370421347,0.002454405
6062,0.02131640636744818,0.04414154908645545,6.32e-05,0.060066281,0.7081534966176045,0.059670286,0.059670286,0.04414154908645545,0.025226838944502228,0.49409802,0.638524708006163,6.32e-05
6063,0.00011138816900248868,0.0,0.0,5.98e-11,0.3571468928334454,5.96e-11,5.96e-11,0.0,0.005461415626663045,0.576787588,0.30438408001773115,0.0
6064,0.9685956998920221,0.004013161970701525,0.003742546,6.6e-05,0.5755410220791484,6.59e-05,6.59e-05,0.004013161970701525,0.011274775484879505,0.587351131,0.503439998609661,0.003742546
6065,0.9898037449428864,0.006420857991870573,0.001690023,4.76e-06,0.5147774586724869,4.74e-06,4.74e-06,0.006420857991870573,0.02613812172195757,0.578583741,0.4475805512983933,0.001690023
6066,0.9387378186846793,0.007223429337073745,0.003063242,0.000300264,0.6367680905972275,0.000299325,0.000299325,0.007223429337073745,0.019947679473136682,0.572555392,0.5627539398977521,0.003063242
6067,0.021195130480545107,0.004013161970701525,0.003337401,0.000133834,0.5814796161841945,0.00013392,0.00013392,0.004013161970701525,0.017528065132295774,0.576991463,0.5123004139286186,0.003337401
6068,0.02070730276575613,0.006420857991870573,1.02e-05,0.008903147,0.6827254374193343,0.008891055,0.008891055,0.006420857991870573,0.0046758266459145355,0.636394904,0.6130384050899981,1.02e-05
6069,0.9388343752768309,0.002408019280295181,5.82e-06,0.001726826,0.6556031062841693,0.001724998,0.001724998,0.002408019280295181,0.002067670109287491,0.621446958,0.5860591818692757,5.82e-06
6070,0.9796050684038378,0.005618286646667402,0.003906675,0.000345131,0.602173568070987,0.000345886,0.000345886,0.005618286646667402,0.017936571722439856,0.590778173,0.5302681823748399,0.003906675
6071,0.9898874878597994,0.004013161970701525,0.000451239,6.1e-06,0.5088104352057797,6.08e-06,6.08e-06,0.004013161970701525,0.010709150898488938,0.655568555,0.4449387600066152,0.000451239
6072,0.9791019046367948,0.013643982084258653,0.000433776,0.005658778,0.7125188613562281,0.005676085,0.005676085,0.013643982084258653,0.013851507821966898,0.626351284,0.6420601164056543,0.000433776
6073,1.9069170236839094e-05,0.0016054479350920098,4.07e-07,0.001254096,0.6583669843211015,0.001254947,0.001254947,0.0016054479350920098,0.0028218358909802726,0.568918088,0.5860453140829524,4.07e-07
6074,1.0493088384292412e-05,0.0016054479350920098,3.75e-06,0.004232365,0.6810662728686498,0.004257064,0.004257064,0.0016054479350920098,0.0015334697224365754,0.574265044,0.609221059373879,3.75e-06
6075,0.00011481860174350736,0.0008022480860770399,0.0,0.000406741,0.6019668433550743,0.000410186,0.000410186,0.0008022480860770399,0.0021619407069385986,0.579247414,0.5309850527156253,0.0
6076,8.576081852546683e-06,0.0,0.0,9.59e-08,0.4308526428433177,9.69e-08,9.69e-08,0.0,0.0040159314618728615,0.576908128,0.3707142260701743,0.0
6077,0.9786839972128742,0.007223429337073745,0.003998278,0.000331326,0.6040761969742159,0.000332583,0.000332583,0.007223429337073745,0.02280722460366132,0.569863688,0.5336380114458923,0.003998278
