,Id,S.No,Betweenness centrality,Closeness,Degree centrality,Eigenvector centrality,Katz Centrality,Percolation Centrality,load Centrality,Hormonic Centrality,Degree prestige,Hub-Score
0,0.0006218180757863355,0.0,0.006049321,0.430535338,0.058823354,5.43e-05,0.102299884,0.006049321,0.00625756,0.0,0.004975115,0.016554716
1,0.0010132920550255018,4.0105879521937915e-05,0.004654898,0.452992774,0.028997348,0.000136296,0.062928203,0.004654898,0.004808138,0.013967367,0.003316757,0.0008452979999999996
2,0.9489231388262581,0.00016042351808775166,0.003725088,0.006232691,0.03313985,2.11e-41,0.003717583,0.003725088,0.003700882,0.107217785,0.022388059,0.042197927
3,0.9390421539786217,0.0004411646747413171,0.00032865,0.00126962,0.046395848,1.63e-44,0.000702313,0.00032865,0.000270194,0.0,0.044776118,0.033734464
4,0.9590184254089213,0.000481270554263255,0.01473667,0.035886471,0.078707372,1.25e-26,0.004124388,0.01473667,0.015392361,0.0,0.07379767,0.080523828
5,0.9592245546201548,0.0005213764337851929,0.010570771,0.055492904,0.096105893,2.11e-25,0.017043878,0.010570771,0.010860134,0.011145303,0.07379767,0.127124642
6,0.9686030805975305,0.0005614823133071309,0.005397577,0.067937332,0.062965856,5.85e-23,0.024780184,0.005397577,0.00532566,0.174683669,0.03233831,0.113750134
7,0.9590163066064563,0.0006817999518729446,0.014250421,0.037414091,0.029825841,9.4e-27,0.01089454,0.014250421,0.01448062,0.000988253,0.008291872,0.013061817
8,0.9590182236182103,0.0007219058313948825,0.010741704,0.034652984,0.055509365,9.11e-27,0.008523234,0.010741704,0.011085617,0.000329418,0.040630182,0.075447357
9,0.9593107192537296,0.0007620117109168204,0.000374848,0.047720463,0.023197842,2.66e-25,0.007714766,0.000374848,0.000380318,0.000658836,0.014925366,0.021452068
10,0.968593596434116,0.0008823293494826342,0.01060656,0.060801717,0.038939357,1.88e-23,0.016804475,0.01060656,0.010451954,0.109345111,0.02072968,0.039347525
11,0.9687033705808717,0.000922435229004572,0.003643218,0.079306287,0.038110845,3.3e-22,0.022543148,0.003643218,0.003664776,0.327416925,0.015754565,0.016957944
12,0.9690113032057784,0.0010026469880484478,0.001742663,0.082815133,0.037282352,2.6200000000000007e-21,0.023842928,0.001742663,0.001678937,0.0,0.017412944,0.026114412
13,0.9688048713084786,0.0010427528675703858,0.002204644,0.074441789,0.029825841,5.17e-22,0.018132962,0.002204644,0.002064069,0.0,0.015754565,0.018642603
14,0.9695165871459922,0.0010828587470923237,0.00516951,0.115460882,0.051366863,7.82e-19,0.053852732,0.00516951,0.005127076,0.046876939,0.019071302,0.013976486
15,0.9691016045489277,0.0011630705061361996,0.002111078,0.088835637,0.038939357,1.38e-20,0.030904981,0.002111078,0.001997875,0.056300605,0.014925366,0.015214743
16,0.9795944188321585,0.0012432822651800754,0.105674666,0.219041969,0.147472921,1.41e-15,0.176536599,0.105674666,0.104846056,0.306894872,0.029021553,0.027002465
17,0.9999896077783862,0.0012833881447020133,0.000877179,0.284408761,0.024026334,1.41e-07,0.010876586,0.000877179,0.00091469,0.386173523,0.016583744,0.007618165
18,0.9693089445044267,0.0013635999037458892,0.000947354,0.080734016,0.020712345,4.01e-21,0.019467832,0.000947354,0.00099292,0.71155569,0.003316757,0.004904128
19,0.9893891381508646,0.0015240234218336407,0.01205718,0.263794393,0.073736378,5.38e-09,0.11755008,0.01205718,0.012512472,0.000658836,0.009950251,0.01016894
20,0.9692200556962541,0.0019651880965749578,0.006380895,0.099475179,0.01905534,5.27e-21,0.019972044,0.006380895,0.006595995,0.403613589,0.00165873,0.0023612469999999995
21,0.010207179531883891,0.0020052939760968956,2.27e-05,0.462059589,0.017398335,2.2e-05,0.029500355,2.27e-05,2.64e-05,0.546413164,0.003316757,0.007149967
22,0.010894781379439281,0.0020855057351407717,0.000280113,0.553279746,0.029825841,0.000225621,0.100907634,0.000280113,0.000281628,0.000329418,0.000829365,0.0010967919999999999
23,0.010909108519916591,0.0021256116146627095,0.0,0.130745324,0.022369329,4.76e-17,0.055322116,0.0,0.0,0.747174309,0.0,1.4999999999999968e-20
24,0.021197004336179694,0.0021657174941846474,0.0,0.608331194,0.014084325,0.000214774,0.06649882,0.0,0.0,0.315670506,0.0,1.4999999999999968e-20
25,0.02128770926075083,0.002205823373706585,6.96e-05,0.19798926,0.024026334,8.53e-11,0.047622775,6.96e-05,7.1e-05,0.059831708,0.000829365,0.0001061859999999997
