,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality,MAUT
811,4077,0.011779671,0.236364966,0.001112886,1.45e-06,0.035444929,0.228687852,0.00361355,0.10779058,0.004733716,0.001112886,0.004712535,0.001127279,0.01598539,0.266480526
827,4093,0.023558206,0.078909828,0.001490472,8.3e-18,0.01297415,0.070896274,0.013009796,0.000461493,0.022485217,0.001490472,0.002843771,0.001645218,0.005566016,0.548621031
831,4097,0.030625332,0.311351057,0.002166153,9.67e-05,0.047648834,0.266619691,0.023247067,4.66e-05,0.030769227,0.002166153,0.006378173,0.002325648,0.004411415,0.015698359
837,4103,0.06478315,0.373315719,0.010784362,0.000242054,0.058984912,0.356778813,0.009510713,0.257534597,0.018934922,0.010784362,0.015762618,0.010903123,0.083554702,0.188108526
843,4109,0.030625332,0.307252961,0.004650274,2.19e-05,0.047022326,0.265877824,0.012274348,0.02623441,0.022485217,0.004650274,0.004996912,0.004844253,0.008368497,0.031363755
845,4111,0.029447487,0.277593201,0.004640337,1.05e-05,0.042584193,0.247153736,0.007864314,0.012514354,0.023668638,0.004640337,0.003493776,0.00480363,0.009068906,0.062712792
848,4114,0.042403896,0.344037814,0.005484938,0.000433918,0.053479616,0.307000332,0.001256118,0.051065217,0.011834334,0.005484938,0.021409536,0.00517939,0.041533997,0.078387117
856,4123,0.027091769,0.387653106,0.00197736,0.000558444,0.05906658,0.345003571,0.00145515,0.305902784,0.00118231,0.00197736,0.032540869,0.002010822,0.067941806,0.04703808
857,4124,0.035336769,0.387181715,0.003746054,0.00051722,0.059462412,0.345674973,0.007328341,0.064780284,0.01656805,0.003746054,0.007678183,0.003767752,0.046444645,0.219457177
858,4125,0.034158925,0.467291049,0.031965861,0.000191947,0.071360959,0.41016824,0.011758323,0.037085727,0.01656805,0.031965861,0.016331372,0.032563737,0.045085019,0.04703808
859,4126,0.025913924,0.149546629,0.000708471,4.22e-12,0.02348105,0.126702823,0.011956515,0.026858049,0.023668638,0.000708471,0.000284377,0.000761675,0.002427218,0.0
863,4130,0.004712544,0.109237913,2.63e-05,2.79e-12,0.016330535,0.096831111,1.83e-05,3.53e-05,0.00118231,2.63e-05,0.06078155,3.79e-05,0.004314021,0.078387117
864,4131,0.022380361,0.282944236,0.001083077,1.08e-05,0.042907239,0.272729707,0.00203898,0.303128422,0.003550294,0.001083077,0.008856316,0.001127279,0.027727145,0.031363755
866,4133,0.041226051,0.366848549,0.006895919,0.000405797,0.056764955,0.322193134,0.016433027,0.014509999,0.031952648,0.006895919,0.009465696,0.00693632,0.026656303,0.344852911
867,4134,0.024736079,0.446277806,0.019916088,0.000136623,0.067481962,0.390408116,0.002613963,0.044290419,0.014201177,0.019916088,0.00398128,0.020275889,0.035935895,0.470248645
874,4141,0.022380361,0.145702321,0.000963839,1.57e-11,0.022718004,0.124335475,0.005626036,0.001126708,0.022485217,0.000963839,0.000771881,0.001009473,0.004673605,1.410716101
875,4142,0.024736079,0.466505422,0.000483907,0.000288949,0.070263625,0.415284857,0.005640809,0.305976373,0.009467461,0.000483907,0.007759433,0.000471223,0.080815218,0.094061442
879,4146,0.014135389,0.271889707,0.0,4.47e-05,0.040821868,0.253091291,7.170000000000001e-21,0.288443389,0.0,0.0,0.014787611,0.0,0.024028123,0.062712792
880,4147,0.050648868,0.313685318,0.021366119,2.09e-06,0.04937637,0.285595646,0.008200945,0.02827163,0.029585805,0.021366119,0.016697,0.022112033,0.028047733,0.015698359
881,4148,0.029447487,0.443848014,0.004580718,0.000300567,0.067280837,0.389735134,0.01244932,0.041884836,0.013017755,0.004580718,0.009100068,0.004620828,0.049064215,0.313503888
885,4152,0.012957515,0.377452799,0.002474184,1.64e-05,0.05629143,0.336341061,7.390000000000001e-21,0.001484261,0.00118231,0.002474184,0.079536628,0.002528761,0.021294035,0.031363755
892,4160,0.028269643,0.030155369,6.6e-06,1.56e-23,0.006050723,0.02635708,0.005455885,0.00785785,0.028402354,6.6e-06,0.0,8.37e-06,0.000749524,0.10973614
897,4165,0.025913924,0.2762096,0.00127187,3.06e-05,0.042139742,0.235635035,0.015644238,0.00390398,0.023668638,0.00127187,0.000934382,0.001360859,0.003702592,0.031363755
898,4166,0.038870333,0.30557949,0.006617697,2.68e-05,0.047285235,0.260789068,0.006432163,0.011849139,0.035502972,0.006617697,0.000487504,0.007017565,0.00571531,0.078387117
911,4179,0.002356825,0.132645875,1.4e-05,7.66e-13,0.019637096,0.112967451,0.000513062,0.103802617,0.002367546,1.4e-05,0.0,1.79e-05,0.002513007,0.141085177
915,4183,0.027091769,0.28472192,0.032025083,1.98e-06,0.043949196,0.268960277,0.001203042,0.017129282,0.01656805,0.032025083,0.005321915,0.033452967,0.015358005,0.125410466
917,4185,0.008246107,0.372620457,0.001391107,0.000163986,0.055422727,0.33282561,0.002030134,0.135822318,0.002367546,0.001391107,0.001746888,0.001381171,0.04237965,0.689691091
918,4186,0.037692488,0.281277485,0.002076725,4.05e-05,0.043580751,0.283960513,0.000268473,0.310652002,0.003550294,0.002076725,0.024862686,0.002051445,0.056327332,0.0
