,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank
0,0.0,0.021202516,0.146209943,0.002364883,2.81e-14,0.022748753,0.140135979,0.000911128,0.024155614,0.002367546,0.002364883,0.013040723
1,1.0089503989894353e-07,0.029447487,0.317471605,0.006677316,5.32e-05,0.048518811,0.283743695,0.019164242,0.014717878,0.022485217,0.006677316,0.002762521
2,2.0179007979788707e-07,0.005890389,0.0,0.0,0.0,0.00033694,0.0,0.001119006,4.575000000000001e-19,0.007100589,0.0,0.0
3,3.026851196968306e-07,0.001179651,0.000457827,1.63e-07,1.0999999999999999e-38,0.000134793,0.000358092,2.2300000000000005e-21,2.665e-19,0.00118231,1.63e-07,0.004590659
4,4.0358015959577414e-07,0.023558206,0.224189463,0.000866461,2.68e-08,0.034323215,0.228593489,1.8199999999999995e-05,0.00785785,0.00118231,0.000866461,0.02128766
5,5.044751994947177e-07,0.001179651,0.000457827,0.00026431,1.0999999999999999e-38,0.000139221,0.000358092,9.16e-05,9.05999999999085e-08,0.00118231,0.00026431,0.001137509
6,6.053702393936612e-07,0.0,0.000457827,0.0,1.0999999999999999e-38,6.73e-05,0.000358092,2.2100000000000007e-21,0.000977034,0.0,0.0,0.000203127
7,7.062652792926047e-07,0.002356825,0.001649741,4.88e-07,1.08e-36,0.000377373,0.001432369,8.13999999999995e-07,0.0002577709999999999,0.00118231,4.88e-07,0.000812506
8,8.071603191915483e-07,0.001179651,0.000457827,0.0,1.0999999999999999e-38,0.000134789,0.000358092,3.4900000000000005e-21,5.495e-19,0.00118231,0.0,0.001503136
9,9.080553590904918e-07,0.007068234,0.000457827,1.89e-06,1.0999999999999999e-38,0.000471657,0.000358092,0.002335317,0.0006028509999999998,0.007100589,1.89e-06,0.000446878
10,1.0089503989894353e-06,0.009423952,0.205013206,0.000756166,5.61e-09,0.030693487,0.210860524,0.000419296,0.030267275,0.003550294,0.000756166,0.005321915
11,1.1098454388883788e-06,0.018846797,0.006015723,0.000628979,7.280000000000001e-32,0.001973066,0.005902556,0.000426815,0.00042407399999999987,0.014201177,0.000628979,0.003493776
12,1.2107404787873224e-06,0.005890389,0.204610806,0.00084162,9.8e-07,0.030434487,0.190026619,0.000977472,0.0002166109999999999,0.005917167,0.00084162,0.00060938
13,1.3116355186862658e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.19e-21,4.575000000000001e-19,0.00118231,0.0,0.0
14,1.513425598484153e-06,0.017668953,0.255113812,4.92e-05,4.52e-06,0.038523181,0.24424242,0.003874504,0.31498754,0.003550294,4.92e-05,0.005484416
15,1.6143206383830965e-06,0.005890389,0.002765933,6.5e-07,6.5e-34,0.000743608,0.002745375,4.07999999999995e-07,6.279999999999085e-07,0.002367546,6.5e-07,0.006378173
16,1.71521567828204e-06,0.008246107,0.331569052,0.002474184,2.68e-05,0.049285077,0.291386126,0.004418527,0.004365472,0.004733716,0.002474184,0.006987552
17,1.8161107181809836e-06,0.009423952,0.015801539,1.16e-05,1.01e-27,0.002862456,0.016135045,3.1099999999999504e-07,1.5099999999999908e-05,0.002367546,1.16e-05,0.04072118
18,1.917005758079927e-06,0.0,0.000457827,0.0,1.0999999999999999e-38,6.73e-05,0.000358092,2.2100000000000007e-21,0.00023324099999999992,0.0,0.0,0.001503136
19,2.0179007979788707e-06,0.002356825,0.007160801,7.69e-06,2.34e-28,0.001187748,0.00703481,8.049999999999994e-06,0.0006444269999999999,0.00118231,7.69e-06,0.009425071
20,2.118795837877814e-06,0.001179651,0.000824995,4.88e-07,5.39e-37,0.00018878,0.000716185,0.000521908,0.0003276179999999999,0.00118231,4.88e-07,0.000528129
21,2.2196908777767575e-06,0.00353467,0.000916787,1.95e-06,2.1999999999999998e-38,0.000337011,0.000716185,1.9799999999999997e-05,8.654999999999999e-19,0.002367546,1.95e-06,0.009181319
22,2.320585917675701e-06,0.012957515,0.048378689,0.000121225,2.55e-18,0.007856022,0.041622441,0.001702836,2.0999999999999907e-05,0.013017755,0.000121225,0.000568754
23,2.421480957574645e-06,0.009423952,0.191997817,0.000369637,7.35e-12,0.028773434,0.165617647,0.003861235,0.003030885,0.007100589,0.000369637,0.000731255
24,2.5223759974735882e-06,0.002356825,0.001636652,0.0,8.26e-37,0.00037544,0.001432369,2.2100000000000007e-21,0.0002897839999999999,0.0,0.0,0.003087523
25,2.6232710373725317e-06,0.025913924,0.198631709,0.001848186,8.36e-11,0.030716816,0.16793448,0.008748992,0.003438329,0.02485206,0.001848186,0.000325002
26,2.724166077271475e-06,0.004712544,0.203601932,8.88e-05,7.75e-12,0.030205302,0.179434716,2.8499999999999947e-06,0.0002947729999999999,0.00118231,8.88e-05,0.006621925
27,2.825061117170419e-06,0.004712544,0.245718804,0.000438199,9.86e-07,0.03640419,0.228402502,3.869999999999995e-06,0.008564641,0.00118231,0.000438199,0.005890669
28,2.9259561570693624e-06,0.001179651,0.001396611,0.0,4.8599999999999995e-34,0.000272812,0.001474147,2.2100000000000007e-21,1.13999999999085e-08,0.0,0.0,0.01072508
29,3.026851196968306e-06,0.001179651,0.190013137,0.0,8.93e-11,0.028003854,0.162745348,0.001707259,0.013803208,0.00118231,0.0,0.0
30,3.1277462368672492e-06,0.017668953,0.204652407,0.00234501,5.78e-09,0.031138709,0.20887027,0.001534763,0.015341517,0.015384628,0.00234501,0.000853131
31,3.228641276766193e-06,0.07538384,0.344707375,0.023620409,0.0002285,0.055588539,0.31137958,0.015929385,0.02868739,0.049704149,0.023620409,0.01470636
32,3.3295363166651365e-06,0.0,0.000610814,0.0,2.7500000000000003e-37,8.98e-05,0.000537139,2.2100000000000007e-21,4.615e-19,0.0,0.0,0.008693815
33,3.43043135656408e-06,0.025913924,0.230935591,0.006031445,2.26e-06,0.035538368,0.206084892,0.007924952,0.001259751,0.022485217,0.006031445,0.004346908
34,3.5313263964630234e-06,0.011779671,0.012101265,2.41e-06,1.87e-25,0.002453025,0.011901882,0.00118535,0.010976045,0.005917167,2.41e-06,0.001137509
35,3.6322214363619672e-06,0.036514614,0.266060752,0.001709075,5.81e-07,0.041235016,0.263195914,0.003794891,0.028770542,0.014201177,0.001709075,0.005850044
36,3.7331164762609106e-06,0.002356825,0.001031244,9.75e-07,2.8700000000000003e-37,0.000286448,0.000895231,5.2199999999999995e-05,5.8450000000000005e-19,0.00118231,9.75e-07,0.013284475
37,3.834011516159854e-06,0.001179651,0.0,0.0,0.0,6.75e-05,0.0,3.700000000000001e-22,4.575000000000001e-19,0.002367546,0.0,0.0
38,3.9349065560587975e-06,0.001179651,0.000457827,1.63e-07,1.0999999999999999e-38,0.000134793,0.000358092,1.94e-21,3.495e-19,0.00118231,1.63e-07,0.002275017
39,4.035801595957741e-06,0.06478315,0.370683814,0.011432419,0.000211313,0.058581872,0.344370489,0.01359053,0.34216406,0.014201177,0.011432419,0.054114531
40,4.136696635856684e-06,0.001179651,0.145059856,0.000753185,8.49e-12,0.021407299,0.12180907,3.7899999999950406e-09,0.007400515,0.00118231,0.000753185,8.13e-05
